abase,v cause to feel shame; hurt the pride of
apology,"n. an expression of regret at having caused trouble for someone
n. a formal written defense of something you believe in strongly
n. a poor example"
apply for,none
appreciation,"n. understanding of the nature or meaning or quality or magnitude of something
n. an expression of gratitude
n. an increase in price or value"
attend,"v. be present at (meetings, church services, university), etc.
v. take charge of or deal with
v. to accompany as a circumstance or follow as a result
v. give heed (to)"
ceremony,"n. a formal event performed on a special occasion
n. any activity that is performed in an especially solemn elaborate or formal way
n. the proper or conventional behavior on some solemn occasion"
certification,n. the act of certifying or bestowing a franchise on
complain,"v. express complaints, discontent, displeasure, or unhappiness
v. make a formal accusation; bring a formal charge"
dissatisfactory,s not up to expectations
enclose,"v. close in; darkness enclosed him""
v. surround completely"
express,"n. mail that is distributed by a rapid and efficient system
n. public transport consisting of a fast train or bus that makes only a few scheduled stops
n. rapid transport of goods
v. give expression to"
grateful,"a. feeling or showing gratitude
s. affording comfort or pleasure"
gratitude,n. a feeling of thankfulness and appreciation
inform,"v. impart knowledge of some fact, state or affairs, or event to
v. give character or essence to
v. act as an informer"
inquire,"v inquire about
v have a wish or desire to know something
v conduct an inquiry or investigation of"
invitation,"n. a request (spoken or written) to participate or be present or take part in something
n. a tempting allurement"
recommend,"v. push for something
v. make attractive or acceptable"
reply,n. the speech act of continuing a conversational exchange
sincere,a. open and genuine; not deceitful
suggest,"v. imply as a possibility
v. call to mind"
a flash in the pan,none
a local newspaper,none
a matter of,none
a number of,none
a rigid moral code,none
a series of,none
a significant issue,none
a variety of,none
a majority of,none
the majority of,none
abide by,none
above all,none
academic community,none
access to,none
accord with,none
according to,none
account for,none
acquaint with,none
act on,"n. A stuffed jacket worn under the mail, or (later) a jacket
   plated with mail."
acute crisis,none
add to,none
add up to,none
adhere to,none
agree on,none
agree with,none
all but,none
all over,s covering the entire surface
allegiance to,none
allow for,none
an easy access,none
an elite athlete,none
an elite university,none
and so on,none
and so forth,none
and then,none
and yet,none
apart from,none
appeal to,none
arise from,none
around the world,none
around the clock,s. at all times
round the clock,s at all times
arouse controversy,none
as a matter of fact,none
as if,none
as though,none
as to,none
as well,none
as well as,none
as far as,none
so far as,none
as long as,none
