abase,v cause to feel shame; hurt the pride of
talisman,n a trinket or piece of jewelry usually hung about the neck and thought to be a magical protection against evil or disease
tangential,a. of or relating to or acting along or in the direction of a tangent
tangible,"a. perceptible by the senses especially the sense of touch
a. (of especially business assets) having physical substance and intrinsic monetary value"
tanner,n. a craftsman who tans skins and hides
tantalize,v harass with persistent criticism or carping
topography,"n. the configuration of a surface and the relations among its man-made and natural features
n. precise detailed study of the surface features of a region"
toxic,a. of or relating to or caused by a toxin or poison
tractable,a. easily managed (controlled or taught or molded)
traduce,v speak unfavorably about
trajectory,n. the path followed by an object moving through space
tranquility,"n a disposition free from stress or emotion
n an untroubled state; free from disturbances
n a state of peace and quiet"
transcendent,"s. exceeding or surpassing usual limits especially in excellence
s. beyond and outside the ordinary range of human experience or understanding"
transcribe,"v. write out from speech, notes, etc.
v. rewrite or arrange a piece of music for an instrument or medium other than that originally intended
v. make a phonetic transcription of
v. convert the genetic information in (a strand of DNA) into a strand of RNA, especially messenger RNA"
transgression,"n. the act of transgressing; the violation of a law or a duty or moral principle
n. the spreading of the sea over land as evidenced by the deposition of marine strata over terrestrial strata
n. the action of going beyond or overstepping some boundary or limit"
transient,"n. one who stays for only a short time
n. (physics) a short-lived oscillation in a system caused by a sudden change of voltage or current or load"
transition,"n. a change from one place or state or subject or stage to another
n. a musical passage moving from one key to another
n. a passage that connects a topic to one that follows
v. cause to convert or undergo a transition"
transitory,s lasting a very short time
translucent,s. allowing light to pass through diffusely
treacly,s overly sweet
treatise,n. a formal exposition
tremor,"n. an involuntary vibration (as if from illness or fear)
n. a small earthquake
n. shaking or trembling (usually resulting from weakness or stress or disease)
v. shake with seismic vibrations"
tremulous,s (of the voice) quivering as from weakness or fear
trenchant,"s having keenness and forcefulness and penetration in thought, expression, or intellect
s characterized by or full of force and vigor
s clearly or sharply defined to the mind"
trepidation,n. a feeling of alarm or dread
trespass,"n. a wrongful interference with the possession of property (personal property as well as realty), or the action instituted to recover damages
n. entry to another's property without right or permission
v. enter unlawfully on someone's property
v. make excessive use of"
trigger,"n. a device that activates or releases or causes something to happen
n. an act that sets in motion some course of events
v. release or pull the trigger on"
trinket,n cheap showy jewelry or ornament on clothing
trite,s repeated too often; overfamiliar through overuse
trivial,s. concerned with trivialities
trough,"n. a narrow depression (as in the earth or between ocean waves or in the ocean bed)
n. a long narrow shallow receptacle"
truculence,n. obstreperous and defiant aggressiveness
truism,n. an obvious truth
truncate,"v. replace a corner by a plane
v. approximate by ignoring all terms beyond a chosen one
v. make shorter as if by cutting off"
tryst,n. a date; usually with a member of the opposite sex
turbulence,"n. unstable flow of a liquid or gas
n. instability in the atmosphere
n. a state of violent disturbance and disorder (as in politics or social conditions generally)"
turgid,"s ostentatiously lofty in style
s abnormally distended especially by fluids or gas"
turmoil,"n a violent disturbance
n violent agitation
n disturbance usually in protest"
turncoat,n a disloyal person who betrays or deserts his cause or religion or political party or friend etc.
turpitude,n a corrupt or depraved or degenerate act or practice
tutelage,n. teaching pupils individually (usually by a tutor hired privately)
tycoon,n a very wealthy or powerful businessman
typhoon,n. a tropical cyclone occurring in the western Pacific or Indian oceans
tyranny,"n a form of government in which the ruler is an absolute dictator (not restricted by a constitution or laws or opposition etc.)
n dominance through threat of punishment and violence"
tantrum,n a display of bad temper
taut,"s. pulled or drawn tight
s. subjected to great tension; stretched tight"
tawdry,"s tastelessly showy
s cheap and shoddy"
tedious,"s so lacking in interest as to cause mental weariness
s using or containing too many words"
temerity,n fearless daring
temper,"n. a characteristic (habitual or relatively temporary) state of feeling
n. a disposition to exhibit uncontrolled anger
n. the elasticity and hardness of a metal object; its ability to absorb considerable energy before cracking
v. harden by reheating and cooling in oil"
