alter,"v. make an alteration to
v. remove the ovaries of"
invest,"v. make an investment
v. furnish with power or authority; of kings or emperors
v. provide with power and authority"
venture,"n. any venturesome undertaking especially one with an uncertain outcome
n. a commercial undertaking that risks a loss but promises a profit
v. proceed somewhere despite the risk of possible dangers
v. put at risk"
be afraid to do,none
investigate,"v. investigate scientifically
v. conduct an inquiry or investigation of"
explosion,"n. a violent release of energy caused by a chemical or nuclear reaction
n. the act of exploding or bursting
n. a sudden great increase
n. the noise caused by an explosion"
terror,"n. a person who inspires fear or dread
n. a very troublesome child
n. the use of extreme fear in order to coerce people (especially for political reasons)"
absolutely,"r. completely and without qualification; used informally as intensifiers
r. totally and definitely; without question"
personally,"r. as yourself
r. as a person
r. in a personal way
r. in the flesh; without involving anyone else"
involve,"v. connect closely and often incriminatingly
v. engage as a participant
v. contain as a part
v. occupy or engage the interest of"
scandal,"n. disgraceful gossip about the private lives of other people
n. a disgraceful event"
kidnap,v. take away to an undisclosed location against their will and usually in order to extract a ransom
willingly,r. in a willing manner
run away from,none
sensation,"n. an unelaborated elementary awareness of stimulation
n. a general feeling of excitement and heightened interest
n. a state of widespread public excitement and interest"
locate,"v. discover the location of; determine the place of; find by searching or examining
v. assign a location to"
tomb,n a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)
skillful,"s having or showing knowledge and skill and aptitude
s done with delicacy and skill"
mend,"n. sewing that repairs a worn or torn hole (especially in a garment)
v. heal or recover"
rebel,"n. `Johnny' was applied as a nickname for Confederate soldiers by the Federal soldiers in the American Civil War; `greyback' derived from their grey Confederate uniforms
v. take part in a rebellion; renounce a former allegiance
v. break with established customs"
obey,v. be obedient to
luckily,r by good fortune
obtain,v. come into possession of
organize,"v. cause to be structured or ordered or operating according to some principle or idea
v. bring order and organization to
v. arrange by systematic planning and united effort"
scholarship,n. financial aid provided to a student on the basis of academic merit
classical,"a. of or relating to the most highly developed stage of an earlier civilisation and its culture
a. of or relating to the study of the literary works of ancient Greece and Rome
s. (language) having the form used by ancient standard authors
s. of or pertaining to or characteristic of the ancient Greek and Roman cultures"
confident,"a. having or marked by confidence or assurance
s. not liable to error in judgment or action"
eventually,r after an unspecified period of time or an especially long delay
overcome,v. get on top of; deal with successfully
current,"n. a flow of electricity through a conductor
n. a steady flow of a fluid (usually from natural causes)
a. occurring in or belonging to the present time"
postpone,v. hold back to a later time
preparation,"n. the activity of putting or setting in order in advance of some act or purpose
n. (music) a note that produces a dissonant chord is first heard in a consonant chord"
advertisement,n a public promotion of some product or service
association,"n. a formal organization of people or groups of people
n. the act of consorting with or joining with others
n. the state of being connected together as in memory or imagination
n. the process of bringing ideas or events together in memory or imagination"
preserve,"n. a domain that seems to be specially reserved for someone
n. a reservation where animals are protected
v. prevent (food) from rotting
v. keep undisturbed for personal or private use for hunting, shooting, or fishing"
historical,"a. of or relating to the study of history
s. having once lived or existed or taken place in the real world as distinct from being legendary"
proceed,"v. move ahead; travel onward in time or space
v. follow a certain course"
construction,"n. the act of constructing something
n. a group of words that form a constituent of a sentence and are considered as a single unit
n. the creation of a construct; the process of combining ideas into a congruous object of thought
n. drawing a figure satisfying certain conditions as part of solving a problem or proving a theorem"
amusement,n. a feeling of delight at being entertained
