looter,n someone who takes spoils or plunder (as in war)
walleye,"n. strabismus in which one or both eyes are directed outward
n. pike-like freshwater perches"
etching,"n. an impression made from an etched plate
n. an etched plate made with the use of acid"
mainframe,n. a large digital computer serving 100-400 users and occupying a special air-conditioned room
mercenary,"n. a person hired to fight for another country than their own
s. serving for wages in a foreign army"
entry-level,none
unduly,r. to an undue degree
emblematic,"s. serving as a visible symbol for something abstract
s. being or serving as an illustration of a type;"
corral,"v. enclose in a corral
v. arrange wagons so that they form a corral
v. collect or gather"
spoonful,n as much as a spoon will hold
courteous,"s. exhibiting courtesy and politeness
a. characterized by courtesy and gracious good manners"
ballplayer,n. an athlete who plays baseball
caseworker,n someone employed to provide social services (especially to the disadvantaged)
convertible,"n. a car that has top that can be folded or removed
n. a corporate security (usually bonds or preferred stock) that can be exchanged for another form of security (usually common stock)
n. a sofa that can be converted into a bed
a. capable of being exchanged for or replaced by something of equal value"
overworked,"v use too much
v work excessively hard"
hush,"n. (poetic) tranquil silence
v. become quiet or still; fall silent
v. cause to be quiet or not talk
v. wash by removing particles"
frenzied,s. affected with or marked by frenzy or mania uncontrolled by reason
individualistic,s. with minimally restricted freedom in commerce
preview,"n. an advertisement consisting of short scenes from a motion picture that will appear in the near future
n. a screening for a select audience in advance of release for the general public
v. watch (a movie or play) before it is released to the general public"
carpeting,"n floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
v form a carpet-like cover (over)
v cover completely, as if with a carpet
v cover with a carpet"
marketable,"s. being in demand by especially employers
s. fit to be offered for sale
s. capable of being marketed"
slug,"n. a unit of mass equal to the mass that accelerates at 1 foot/sec/sec when acted upon by a force of 1 pound; approximately 14.5939 kilograms
n. a counterfeit coin
n. an amount of an alcoholic drink (usually liquor) that is poured or gulped
n. any of various terrestrial gastropods having an elongated slimy body and no external shell"
eureka,n. a town in northwest California on an arm of the Pacific Ocean
infringe,"v go against, as of rules and laws
v advance beyond the usual limit"
well-educated,s highly educated; having extensive information or understanding
synergy,n. the working together of two things (muscles or drugs for example) to produce an effect greater than the sum of their individual effects
Pentecostal,"n. any member of a Pentecostal religious body
a. of or relating to or characteristic of any of various Pentecostal religious bodies or their members
a. of or relating to or occurring at Pentecost"
jurisprudence,n. the branch of philosophy concerned with the law and the principles that lead courts to make the decisions they do
single-handedly,r without assistance
extravaganza,n. any lavishly staged or spectacular entertainment
collagen,n. a fibrous scleroprotein in bone and cartilage and tendon and other connective tissue; yields gelatin on boiling
right,"n. an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away""
n. location near or direction toward the right side; i.e. the side to the south when a person or object faces east
n. those who support political or social or economic conservatism; those who believe that things are better left unchanged
n. the hand that is on the right side of the body"
Zionist,"n. a Jewish supporter of Zionism
a. relating to or characteristic of Zionism
a. relating to or characteristic of a supporter of Zionism"
unsatisfactory,a. not giving satisfaction
repeating,"n the act of doing or performing again
v to say, state, or perform again
v make or do or perform again
v happen or occur again
v to say again or imitate
v do over
v repeat an earlier theme of a composition"
accelerating,"v move faster
v cause to move faster"
multi-party,none
rationally,r. in a rational manner
Spanish,"n. the Romance language spoken in most of Spain and the countries colonized by Spain
n. the people of Spain
a. of or relating to or characteristic of Spain or the people of Spain"
fleshy,"s. usually describes a large person who is fat but has a large frame to carry it
a. of or relating to or resembling flesh"
capitol,"n. a building occupied by a state legislature
n. the government building in Washington where the United States Senate and the House of Representatives meet"
flavorful,s. full of flavor
subtest,none
besiege,"v. surround so as to force to give up
v. cause to feel distressed or worried
v. harass, as with questions or requests"
housekeeping,"n the work of cleaning and running a house
v maintain a household; take care of all business related to a household"
charter,"n. a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation
n. a contract to hire or lease transportation
v. grant a charter to"
