abase,v cause to feel shame; hurt the pride of
ascend,"v. travel up, ""We ascended the mountain""
v. go back in order of genealogical succession
v. become king or queen
v. appear to be moving upward, as by means of tendrils"
conscious,"s. intentionally conceived
a. knowing and perceiving; having awareness of surroundings and sensations and thoughts
s. (followed by `of') showing realization or recognition of something"
scope,"n. an area in which something acts or operates or has power or control: ""the range of a supersonic jet"""
describe,v. give a description of
prescription,"n. directions prescribed beforehand; the action of prescribing authoritative rules or directions
n. written instructions for an optician on the lenses for a given person
n. written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued to a given patient
a. available only with a doctor's written prescription"
scrutiny,n. a prolonged intense look
obscure,"v. make less visible or unclear
v. make obscure or unclear
v. reduce a vowel to a neutral one, such as a schwa
v. make undecipherable or imperceptible by obscuring or concealing"
intersection,"n. a point where lines intersect
n. a junction where one street or road crosses another
n. a point or set of points common to two or more geometric configurations"
segment,"n. one of the parts into which something naturally divides
v. divide into segments
v. divide or split up"
consecutive,"s. in regular succession without gaps
r. in a consecutive manner"
resemble,v. appear like; be similar or bear a likeness to
seminar,"n. any meeting for an exchange of ideas
n. a course offered for a small group of advanced students"
senate,n. assembly possessing high legislative powers
sensation,"n. an unelaborated elementary awareness of stimulation
n. a general feeling of excitement and heightened interest
n. a state of widespread public excitement and interest"
consent,n. permission to do something
sentiment,"n. tender, romantic, or nostalgic feeling or emotion"
sequence,"n. serial arrangement in which things follow in logical order or a recurrent pattern
n. a following of one thing after another in time
n. film consisting of a succession of related shots that develop a given subject in a movie
n. several repetitions of a melodic phrase in different keys"
assert,"v. state categorically
v. insist on having one's opinions and rights recognized"
reservoir,"n. a large or extra supply of something
n. lake used to store water for community use
n. tank used for collecting and storing a liquid (as water or oil)
n. anything (a person or animal or plant or substance) in which an infectious agent normally lives and multiplies"
session,"n. a meeting for execution of a group's functions
n. a meeting devoted to a particular activity"
signify,"v. convey or express a meaning
v. make known with a word or signal"
assimilate,"v. become similar to one's environment
v. make similar
v. take (gas, light or heat) into a solution
v. become similar in sound"
sociable,"n. a party of people assembled to promote sociability and communal activity
a. inclined to or conducive to companionship with others
s. friendly and pleasant"
