admission,"n. the act of admitting someone to enter
n. an acknowledgment of the truth of something"
bin,"n. a container; usually has a lid
n. the quantity contained in a bin
v. store in bins"
bleach,"n. the whiteness that results from removing the color from something
n. the act of whitening something by bleaching it (exposing it to sunlight or using a chemical bleaching agent)
v. remove color from
v. make whiter or lighter"
bleak,s. unpleasantly cold and damp
blindness,n. the state of being blind or lacking sight
boiler,n. sealed vessel where water is converted to steam
brilliant,"s. of surpassing excellence
s. characterized by grandeur
s. full of light; shining intensely"
calm,"v. make calm or still
v. become quiet or calm, especially after a state of agitation
s. not agitated; without losing self-possession
a. (of weather) free from storm or wind"
carpet,"n. a natural object that resembles or suggests a carpet
v. form a carpet-like cover (over)
v. cover completely, as if with a carpet
v. cover with a carpet"
civilize,v. raise from a barbaric to a civilized state
coarse,"a. of textures that are rough to the touch or substances consisting of relatively large particles
s. lacking refinement or cultivation or taste
s. of low or inferior quality or value"
condemn,"v. express strong disapproval of
v. declare or judge unfit for use or habitation
v. compel or force into a particular state or activity
v. demonstrate the guilt of (someone)"
conservative,"n. a person who is reluctant to accept changes and new ideas
n. a member of a Conservative Party
a. resistant to change
s. having social or political views favoring conservatism"
corrupt,"v. corrupt morally or by intemperance or sensuality
v. alter from the original
a. lacking in integrity
s. containing errors or alterations"
craft,"n. a vehicle designed for navigation in or on water or air or through outer space
n. people who perform a particular kind of skilled work
n. skill in an occupation or trade
n. shrewdness as demonstrated by being skilled in deception"
curious,"s. beyond or deviating from the usual or expected
a. eager to investigate and learn or learn more (sometimes about others' concerns)
s. having curiosity aroused; eagerly interested in learning more"
curve,"n. the trace of a point whose direction of motion changes
n. a line on a graph representing data
n. a pitch of a baseball that is thrown with spin so that its path curves as it approaches the batter"
deposit,"n. the phenomenon of sediment or gravel accumulating
n. money deposited in a bank or some similar institution
n. money given as security for an article acquired for temporary use
n. a payment given as a guarantee that an obligation will be met"
effortless,a. requiring or apparently requiring no effort
estuary,n. the wide part of a river where it nears the sea; fresh and salt water mix
excess,"n. a quantity much larger than is needed
n. immoderation as a consequence of going beyond sufficient or permitted limits
s. more than is needed, desired, or required"
famed,s widely known and esteemed
fate,"n an event (or a course of events) that will inevitably happen in the future
n the ultimate agency regarded as predetermining the course of events (often personified as a woman)
n your overall circumstances or condition in life (including everything that happens to you)
v decree or designate beforehand"
filthy,s. disgustingly dirty; filled or smeared with offensive matter
frightening,"n the act of inspiring with fear
v cause fear in
v drive out by frightening
s causing fear or dread or terror"
