acrobatics,"n. the gymnastic moves of an acrobat
n. the performance of stunts while in flight in an aircraft"
sole,"n. the underside of footwear or a golf club
n. lean flesh of any of several flatfish
n. the underside of the foot
n. right-eyed flatfish; many are valued as food; most common in warm seas especially European"
insole,n. the inner sole of a shoe or boot where the foot rests
cashmere sweater,none
mourning apparel,none
Chinese-style clothes,none
casual clothes,none
casual wear,none
hunting costume,none
mandarin jacket,none
Chinese-style shirt,none
traditional garments,none
national costume,none
men's fashion,none
women's fashion,none
fantastic garments,none
fitted clothes,none
ill-fitted clothes,none
sleeved garments,none
sleeveless garments,none
made-to-order clothes,none
machine-made clothes,none
handmade clothes,none
holiday attire,none
single-coloured clothes,none
dress style,none
latest fashion,none
fashionable clothes,none
shoulder pad,none
collar button,none
V-neck,none
U-neck,none
Peter Pan collar,none
Peter pan,none
boat neck,none
patent-leather shoes,none
sports shoes,none
canvas shoes,none
tennis shoes,none
step-in,n short underpants for women or children (usually used in the plural)
flat heels,none
high heels,plural of high-heel
dancing club,none
express emotions,none
share same interest,none
take some dishes,none
have a picnic,none
go camping,none
join clubs,none
baseball clubs,none
basketball clubs,none
badminton clubs,none
painting clubs,none
join relaxation clubs,none
sports clubs,none
autograph,"n. something written by one's own hand
n. a person's own signature
v. mark with one's signature"
pleasure,"n. a fundamental feeling that is hard to define but that people desire to experience
n. a formal expression
n. an activity that affords enjoyment
n. sexual gratification"
jewelry,n. an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems)
have patience,none
car model,none
butterfly specimens,none
background knowledge,none
sense of achievement,none
ancient coins,none
perfume bottles,none
stuffed animals,none
red,"n. red color or pigment; the chromatic color resembling the hue of blood
n. a tributary of the Mississippi River that flows eastward from Texas along the southern boundary of Oklahoma and through Louisiana
s. of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies"
passion,"n. a strong feeling or emotion
n. a feeling of strong sexual desire
n. the suffering of Jesus at the Crucifixion"
green,"n. green color or pigment; resembling the color of growing grass
n. United States labor leader who was president of the American Federation of Labor from 1924 to 1952 and who led the struggle with the Congress of Industrial Organizations (1873-1952)
n. an environmentalist who belongs to the Green Party
n. a river that rises in western Wyoming and flows southward through Utah to become a tributary of the Colorado River"
peace,"n. the state prevailing during the absence of war
n. harmonious relations; freedom from disputes
n. the absence of mental stress or anxiety
n. the general security of public places"
energy,"n. (physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs
n. forceful exertion
n. enterprising or ambitious drive
n. an imaginative lively style (especially style of writing)"
blue,"n. blue color or pigment; resembling the color of the clear sky in the daytime
n. blue clothing
n. any organization or party whose uniforms or badges are blue
n. any of numerous small butterflies of the family Lycaenidae"
