finale,"n. the closing section of a musical composition
n. the concluding part of any performance"
weed,"n. any plant that crowds out cultivated plants
n. a black band worn by a man (on the arm or hat) as a sign of mourning
v. clear of weeds"
ringing,n. the giving of a ring as a token of engagement
bikini,"n. an atoll in the Marshall Islands; formerly used by the United States as a site for testing nuclear weapons
n. a woman's very brief bathing suit"
infusion,"n. a solution obtained by steeping or soaking a substance (usually in water)
n. the process of extracting certain active properties (as a drug from a plant) by steeping or soaking (usually in water)
n. (medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force)
n. the act of infusing or introducing a certain modifying element or quality"
sensual,s. sexually exciting or gratifying
appointee,"n. an official who is appointed
n. a person who is appointed to a job or position"
halve,v. divide by two; divide into halves
hospitalize,v. admit into a hospital
translucent,s. allowing light to pass through diffusely
zest,v. add herbs or spices to
fitting,"n. a small and often standardized accessory to a larger system
n. putting clothes on to see whether they fit
s. in harmony with the spirit of particular persons or occasion
s. being precisely fitting and right"
psychosocial,none
poisonous,"s. having the qualities or effects of a poison
s. not safe to eat
s. marked by deep ill will; deliberately harmful"
startled,s. excited by sudden surprise or alarm and making a quick involuntary movement
coordinated,"s. operating as a unit
s. being dexterous in the use of more than one set of muscle movements
s. intentionally matched"
brutally,r in a vicious manner
approved,s. established by authority; given authoritative approval
contaminated,"a. corrupted by contact or association
s. rendered unwholesome by contaminants and pollution"
numerical,a. relating to or having ability to think in or work with numbers
grassy,a. abounding in grass
winding,"n the act of winding or twisting
v to move or cause to move in a sinuous, spiral, or circular course
v extend in curves and turns
v arrange or or coil around
v catch the scent of; get wind of
v coil the spring of (some mechanical device) by turning a stem
v form into a wreath
v raise or haul up with or as if with mechanical help
s marked by repeated turns and bends
s of a path e.g."
triumphant,s. experiencing triumph
shampoo,"n. cleansing agent consisting of soaps or detergents used for washing the hair
n. the act of washing your hair with shampoo
v. use shampoo on (hair)"
bypass,"n. a surgically created shunt (usually around a damaged part)
v. avoid something unpleasant or laborious"
self-defense,n. the act of defending yourself
steady,"v. make steady
a. not subject to change or variation especially in behavior
s. securely in position; not shaky
s. not easily excited or upset"
mosaic,"n. art consisting of a design made of small pieces of colored stone or glass
n. viral disease in solanaceous plants (tomatoes, potatoes, tobacco) resulting in mottling and often shriveling of the leaves
n. a freeware browser
n. a pattern resembling a mosaic"
in-house,none
chandelier,n. branched lighting fixture; often ornate; hangs from the ceiling
enthusiastically,r. with enthusiasm; in an enthusiastic manner
precarious,"s. affording no ease or reassurance
s. not secure; beset with difficulties"
self-interest,"n taking advantage of opportunities without regard for the consequences for others
n concern for your own interests and welfare"
avalanche,"n. a slide of large masses of snow and ice and mud down a mountain
n. a sudden appearance of an overwhelming number of things
v. gather into a huge mass and roll down a mountain, of snow"
ginger,"n. perennial plants having thick branching aromatic rhizomes and leafy reedlike stems
n. dried ground gingerroot
n. pungent rhizome of the common ginger plant; used fresh as a seasoning especially in Asian cookery
v. add ginger to in order to add flavor"
concentrated,"a. gathered together or made less diffuse
s. of or relating to a solution whose dilution has been reduced
s. intensely focused"
sanitation,"n. the state of being clean and conducive to health
n. making something sanitary (free of germs) as by sterilizing"
biker,none
squadron,"n. a cavalry unit consisting of two or more troops and headquarters and supporting arms
n. an air force unit larger than a flight and smaller than a group
n. a naval unit that is detached from the fleet for a particular task"
rosy,"s reflecting optimism
s having the pinkish flush of health
s of blush color
s presaging good fortune"
repetitive,a. characterized by repetition
coupon,"n. a negotiable certificate that can be detached and redeemed as needed
n. a test sample of some substance"
