abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
bonus,"n. anything that tends to arouse
n. an additional payment (or other remuneration) to employees as a means of increasing output"
boom,"n. a deep prolonged loud noise
n. a state of economic prosperity
n. a sudden happening that brings good fortune (as a sudden opportunity to make money)
n. a pole carrying an overhead microphone projected over a film or tv set"
boomerang,"n. a curved piece of wood; when properly thrown will return to thrower
v. return to the initial position from where it came; like a boomerang"
boost,"n. the act of giving hope or support to someone
n. the act of giving a push
v. give a boost to; be beneficial to
v. increase or raise"
booth,"n. a table (in a restaurant or bar) surrounded by two high-backed benches
n. small area set off by walls for special use
n. United States actor and assassin of President Lincoln (1838-1865)
n. a small shop at a fair; for selling goods or entertainment"
boreal,"a. relating to or marked by qualities associated with the north wind
a. toward or located in the north
s. comprising or throughout far northern regions"
bounce,"n. the quality of a substance that is able to rebound
n. rebounding from an impact (or series of impacts)
v. spring back; spring away from an impact
v. hit something so that it bounces"
bound,"v. form the boundary of; be contiguous to
a. confined by bonds
a. held with another element, substance or material in chemical or physical union
a. secured with a cover or binding; often used as a combining form"
bounty,"n. payment or reward (especially from a government) for acts such as catching criminals or killing predatory animals or enlisting in the military
n. generosity evidenced by a willingness to give freely
n. a ship of the British navy; in 1789 part of the crew mutinied against their commander William Bligh and set him afloat in an open boat"
bourgeois,"n. a member of the middle class
s. (according to Marxist thought) being of the property-owning class and exploitive of the working class
s. conforming to the standards and conventions of the middle class
s. belonging to the middle class"
bower,"n a framework that supports climbing plants
v enclose in a bower"
boycott,"n. a group's refusal to have commercial dealings with some organization in protest against its policies
v. refuse to sponsor; refuse to do business with"
brace,"n. a support that steadies or strengthens something else
n. either of two punctuation marks ({ or }) used to enclose textual material
n. a rope on a square-rigged ship that is used to swing a yard about and secure it
n. elastic straps that hold trousers up (usually used in the plural)"
brass,"n. an alloy of copper and zinc
n. a wind instrument that consists of a brass tube (usually of variable length) that is blown by means of a cup-shaped or funnel-shaped mouthpiece
n. an ornament or utensil made of brass
n. a memorial made of brass"
brew,"n. drink made by steeping and boiling and fermenting rather than distilling
v. prepare by brewing
v. sit or let sit in boiling water so as to extract the flavor"
bring about,none
brochure,n a small book usually having a paper cover
broker,v. act as a broker
brokerage,"n. a stock broker's business; charges a fee to act as intermediary between buyer and seller
n. the business of a broker; charges a fee to arrange a contract between two parties"
bronze,"n. an alloy of copper and tin and sometimes other elements; also any copper-base alloy containing other elements in place of tin
n. a sculpture made of bronze
v. give the color and appearance of bronze to something
s. of the color of bronze"
brutal,"s. harsh
s. disagreeably direct and precise"
bucket,"n. a roughly cylindrical vessel that is open at the top
n. the quantity contained in a bucket
v. put into a bucket
v. carry in a bucket"
bucolic,a. relating to shepherds or herdsmen or devoted to raising sheep or cattle
