unidimensional,a. relating to a single dimension or aspect; having no depth or scope
well-intentioned,s. marked by good intentions though often producing unfortunate results
coherent,"a. marked by an orderly, logical, and aesthetically consistent relation of parts
s. capable of thinking and expressing yourself in a clear and consistent manner
a. (physics) of waves having a constant phase relation
s. sticking together"
eclectic,"n. someone who selects according to the eclectic method
s. selecting what seems best of various styles or ideas"
asymmetric,a characterized by asymmetry in the spatial arrangement or placement of parts or components
forte,"n. an asset of special worth or utility
n. (music) loud
n. the stronger part of a sword blade between the hilt and the foible"
flock,"n. a church congregation guided by a pastor
n. a group of birds
n. a group of sheep or goats
v. move as a crowd or in a group"
embroider,"v. decorate with needlework
v. add details to"
preempt,"v. acquire for oneself before others can do so
v. take the place of or have precedence over
v. gain possession of by prior right or opportunity, especially so as to obtain the right to buy (land)"
compel,"v. force somebody to do something
v. necessitate or exact"
ingrain,v. thoroughly work in
optimal,s most desirable possible under a restriction expressed or implied
morbid,s. suggesting an unhealthy mental state
veracious,"s. habitually speaking the truth
s. precisely accurate"
recourse,"n. act of turning to for assistance
n. something or someone turned to for assistance or security"
worthwhile,s. sufficiently valuable to justify the investment of time or interest
hesitant,s. lacking decisiveness of character; unable to act or decide quickly or firmly
poise,"n. a cgs unit of dynamic viscosity equal to one dyne-second per square centimeter; the viscosity of a fluid in which a force of one dyne per square centimeter maintains a velocity of 1 centimeter per second
n. a state of being balanced in a stable equilibrium
v. be motionless, in suspension"
jaded,"s. exhausted
s. dulled by surfeit"
salubrious,s. favorable to health of mind or body
dampen,"v. reduce the amplitude (of oscillations or waves)
v. make vague or obscure or make (an image) less visible
v. check; keep in check (a fire)
v. lessen in force or effect"
notoriously,r. to a notorious degree
evoke,"v call forth (emotions, feelings, and responses)
v evoke or provoke to appear or occur
v deduce (a principle) or construe (a meaning)
v summon into action or bring into existence, often as if by magic
v call to mind"
stylize,v. represent according to a conventional style
pervasive,s spreading or spread throughout
reparation,"n. compensation (given or received) for an insult or injury
n. (usually plural) compensation exacted from a defeated nation by the victors
n. something done or paid in expiation of a wrong"
purposiveness,none
circumscribe,"v. draw a line around
v. to draw a geometric figure around another figure so that the two are in contact but do not intersect"
impediment,"n something immaterial that interferes with or delays action or progress
n any structure that makes progress difficult"
indolent,"s. (of tumors, e.g.) slow to heal or develop and usually painless"
slanderous,s (used of statements) harmful and often untrue; tending to discredit or malign
undermine,"v destroy property or hinder normal operations
v hollow out as if making a cave or opening"
genre,"n. a kind of literary or artistic work
n. a class of art (or artistic endeavor) having a characteristic form or technique"
superstructure,n. structure consisting of the part of a ship above the main deck
fluorescent,"n. a lighting fixture that uses a fluorescent lamp
s. emitting light during exposure to radiation from an external source
s. brilliantly colored and apparently giving off light"
recalcitrant,s. marked by stubborn resistance to authority
succumb,v. be fatally overwhelmed
sunlit,s. lighted by sunlight
noisome,"s causing or able to cause nausea
s offensively malodorous"
tie,"n. equality of score in a contest
n. a horizontal beam used to prevent two other structural members from spreading apart or separating
n. (music) a slur over two notes of the same pitch; indicates that the note is to be sustained for their combined time value
n. one of the cross braces that support the rails on a railway track"
consecutive,"s. in regular succession without gaps
r. in a consecutive manner"
autonomy,"n. immunity from arbitrary exercise of authority: political independence
n. personal independence"
inaugurate,"v. commence officially
v. open ceremoniously or dedicate formally
v. be a precursor of"
dietary,"n. a regulated daily food allowance
a. of or relating to the diet"
component,"n. an abstract part of something
n. an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system"
trendsetter,none
storage,"n. the act of storing something
n. the commercial enterprise of storing goods and materials
n. (computer science) the process of storing information in a computer memory or on a magnetic tape or disk"
