abroad,"s. in a foreign country
r. to or in a foreign country"
hatred,n the emotion of intense dislike; a feeling of dislike so strong that it demands action
resent,v. feel bitter or indignant about
spite,"n feeling a need to see others suffer
n malevolence by virtue of being malicious or spiteful or nasty
v hurt the feelings of"
grudge,"n. a resentment strong enough to justify retaliation
v. accept or admit unwillingly"
indifferent,"s. showing no care or concern in attitude or action
s. fairly poor to not very good
s. marked by no especial liking or dislike or preference for one thing over another
s. characterized by a lack of partiality"
aloof,"s. remote in manner
r. in an aloof manner"
reside,v. make one's home in a particular place or community
inhabit,v. be present in
habitable,s. fit for habitation
dwell,"v. originate (in)
v. exist or be situated within"
ponder,v reflect deeply on a subject
deliberate,s. carefully thought out in advance
reflect,"v. manifest or bring back
v. to throw or bend back (from a surface)
v. be bright by reflecting or casting light
v. show an image of"
perch,"n. support consisting of a branch or rod that serves as a resting place (especially for a bird)
n. a linear measure of 16.5 feet
n. a square rod of land
n. an elevated place serving as a seat"
depart,"v. leave
v. go away or leave"
farewell,"n. an acknowledgment or expression of goodwill at parting
n. the act of departing politely"
partition,"n. a vertical structure that divides or separates (as a wall divides one room from another)
n. (computer science) the part of a hard disk that is dedicated to a particular operating system or application and accessed as a single unit
n. (anatomy) a structure that separates areas in an organism
v. divide into parts, pieces, or sections"
parting,"n the act of departing politely
n a line of scalp that can be seen when sections of hair are combed in opposite directions
v go one's own way; move apart
v discontinue an association or relation; go different ways
v leave
v come apart
v force, take, or pull apart"
inseparable,s. not capable of being separated
linger,"v. remain present although waning or gradually dying
v. take one's time; proceed slowly"
precise,a. sharply exact or accurate or delimited
precision,n the quality of being reproducible in amount or performance
elaborate,"v. add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing
v. produce from basic elements or sources; change into a more developed product
v. work out in detail
s. marked by complexity and richness of detail"
concise,a. expressing much in few words
simultaneous,s occurring or operating at the same time
simultaneously,r. at the same instant
ambiguous,"a. having more than one possible meaning
s. having no intrinsic or objective meaning; not organized in conventional patterns"
vague,"s not clearly understood or expressed
a not precisely limited, determined, or distinguished
s lacking clarity or distinctness"
obscure,"v. make less visible or unclear
v. make obscure or unclear
v. reduce a vowel to a neutral one, such as a schwa
v. make undecipherable or imperceptible by obscuring or concealing"
anonymous,"a. having no known name or identity or known source
s. not known or lacking marked individuality"
abstract,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment"
specify,"v. decide upon or fix definitely
v. determine the essential quality of
v. be specific about"
