abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
Catholic,"n. a member of a Catholic church
a. of or relating to or supporting Catholicism
s. free from provincial prejudices or attachments"
causative,a. producing an effect
cease,n. (`cease' is a noun only in the phrase `without cease') end
celestial,"a. of or relating to the sky
a. relating to or inhabiting a divine heaven
s. of heaven or the spirit"
cellular,"a. relating to cells
a. characterized by or divided into or containing cells or compartments (the smallest organizational or structural unit of an organism or organization)"
census,"n. a periodic count of the population
v. conduct a census"
centrality,n. the property of being central
ceramic,"n. an artifact made of hard brittle material produced from nonmetallic minerals by firing at high temperatures
a. of or relating to or made from a ceramic"
cereal,"n. grass whose starchy grains are used as food: wheat; rice; rye; oats; maize; buckwheat; millet
n. a breakfast food prepared from grain
a. made of grain or relating to grain or the plants that produce it"
certificate,"n. a document attesting to the truth of certain stated facts
v. present someone with a certificate
v. authorize by certificate"
certify,"v. guarantee payment on; of checks
v. guarantee as meeting a certain standard
v. declare legally insane"
certitude,n. total certainty or greater certainty than circumstances warrant
cessation,n. a stopping
chaise,n. a carriage consisting of two wheels and a calash top; drawn by a single horse
chalice,n. a bowl-shaped drinking vessel; especially the Eucharistic cup
chamber,"n. a natural or artificial enclosed space
n. an enclosed volume in the body
n. a room where a judge transacts business
n. a deliberative or legislative or administrative or judicial assembly"
character,"n. the inherent complex of attributes that determines a persons moral and ethical actions and reactions
n. an actor's portrayal of someone in a play
n. a person of a specified kind (usually with many eccentricities)
n. good repute"
characterization,n. the act of describing distinctive characteristics or essential features
charity,"n. a foundation created to promote the public good (not for assistance to any particular individuals)
n. a kindly and lenient attitude toward people
n. an activity or gift that benefits the public at large
n. an institution set up to provide help to the needy"
chart,"n. a visual display of information
n. a map designed to assist navigation by air or sea
v. make a chart of
v. plan in detail"
charter,"n. a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation
n. a contract to hire or lease transportation
v. grant a charter to"
chatty,"s. full of trivial conversation
s. prone to friendly informal communication"
chauvinism,n. fanatical patriotism
chip,"n. a triangular wooden float attached to the end of a log line
n. a piece of dried bovine dung
n. a thin crisp slice of potato fried in deep fat
n. a small disk-shaped counter used to represent money when gambling"
chord,"n. a straight line connecting two points on a curve
n. a combination of three or more notes that blend harmoniously when sounded together
v. play chords on (a string instrument)"
chore,n a specific piece of work required to be done as a duty or for a specific fee
choreographer,n. someone who creates new dances
chronic,"a. being long-lasting and recurrent or characterized by long suffering
s. of long duration
s. habitual"
chronical,a. Chronic.
chronicle,v. record in chronological order; make a historical record
circuit,"n. an electrical device that provides a path for electrical current to flow
n. an established itinerary of venues or events that a particular group of people travel to
n. (law) a judicial division of a state or the United States (so-called because originally judges traveled and held court in different locations); one of the twelve groups of states in the United States that is covered by a particular circuit court of appeals
v. make a circuit"
circular,"n. an advertisement (usually printed on a page or in a leaflet) intended for wide distribution
s. describing a circle; moving in a circle"
