enable,v. render capable or able for some task
inevitable,"n. an unavoidable event
a. incapable of being avoided or prevented
s. invariably occurring or appearing"
indispensable,"a. not to be dispensed with; essential
s. unavoidable"
extravagant,s. recklessly wasteful
exquisite,"s. intense or sharp
s. lavishly elegant and refined
s. of extreme beauty"
intermittent,s. stopping and starting at irregular intervals
infectious,"s. caused by infection or capable of causing infection
a. easily spread; children catch it from their elders""- Bertrand Russell
a. of or relating to infection"
access,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information"
accessory,"n. clothing that is worn or carried, but not part of your main clothing
n. a supplementary component that improves capability
n. someone who helps another person commit a crime
s. furnishing added support"
powerful,a. having great power or force or potency or effect
influential,a. having or exercising influence or power
expand,"v. extend in one or more directions
v. become larger in size or volume or quantity
v. make bigger or wider in size, volume, or quantity"
expansive,"a. able or tending to expand or characterized by expansion
s. of behavior that is impressive and ambitious in scale or scope
s. marked by exaggerated feelings of euphoria and delusions of grandeur
s. friendly and open and willing to talk"
overcome,v. get on top of; deal with successfully
overwhelm,"v. overcome, as with emotions or perceptual stimuli
v. charge someone with too many tasks"
overflow,"n. the occurrence of surplus liquid (as water) exceeding the limit or capacity
v. flow or run over (a limit or brim)"
overtake,v. catch up with and possibly overtake
overload,"n. an electrical load that exceeds the available electrical power
n. an excessive burden
v. become overloaded
v. place too much a load on"
overthrow,"n. the termination of a ruler or institution (especially by force)
v. cause the downfall of; of rulers"
overturn,"n. an improbable and unexpected victory
v. turn from an upright or normal position
v. cause to overturn from an upright or normal position"
upset,"n. the act of disturbing the mind or body
n. a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging
n. the act of upsetting something
v. disturb the balance or stability of"
chronic,"a. being long-lasting and recurrent or characterized by long suffering
s. of long duration
s. habitual"
sustain,"v. supply with necessities and support
v. admit as valid"
constrain,"v hold back
v restrict"
detain,"v deprive of freedom; take into confinement
v stop or halt
v cause to be slowed down or delayed"
prolong,"v. lengthen in time; cause to be or last longer
v. lengthen or extend in duration or space"
exceed,"v. be greater in scope or size than some standard
v. be superior or better than some standard"
compulsory,s. required by rule
