enable,v. render capable or able for some task
disrupt,v. throw into disorder
heighten,"v. become more extreme
v. make more extreme; raise in quantity, degree, or intensity
v. increase the height of"
amplify,v. increase the volume of
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
magnify,"v. increase in size, volume or significance"
ensure,"v make certain of
v be careful or certain to do something; make certain of something"
attribute,n. an abstraction belonging to or characteristic of an entity
authorize,v. grant authorization or clearance for
authorise,"v give or delegate power or authority to
v grant authorization or clearance for"
authoritative,"s. having authority or ascendancy or influence
s. of recognized authority or excellence
s. sanctioned by established authority"
legitimate,"v. show or affirm to be just and legitimate
v. make (an illegitimate child) legitimate; declare the legitimacy of (someone)
a. of marriages and offspring; recognized as lawful
s. based on known statements or events or conditions"
maintain,v. state or assert
certify,"v. guarantee payment on; of checks
v. guarantee as meeting a certain standard
v. declare legally insane"
console,"n. a scientific instrument consisting of displays and an input device that an operator can use to monitor and control a system (especially a computer system)
n. an ornamental scroll-shaped bracket (especially one used to support a wall fixture)"
ease,"n. freedom from difficulty or hardship or effort
n. a freedom from financial difficulty that promotes a comfortable state
n. freedom from constraint or embarrassment
v. move gently or carefully"
solve,v. find the solution to (a problem or question) or understand the meaning of
soluble,"a. (of a substance) capable of being dissolved in some solvent (usually water)
a. susceptible of solution or of being solved or explained"
clarify,"v. make clear and (more) comprehensible
v. make clear by removing impurities or solids, as by heating"
classify,"v. arrange or order by classes or categories
v. declare unavailable, as for security reasons"
notify,v inform (somebody) of something
haul,"v. draw slowly or heavily
v. transport in a vehicle"
drag,"n. the phenomenon of resistance to motion through a fluid
n. something that slows or delays progress
n. something tedious and boring
n. clothing that is conventionally worn by the opposite sex (especially women's clothing when worn by a man)"
repel,"v. cause to move back by force or influence
v. be repellent to; cause aversion in
v. force or drive back"
dispose,"v. give, sell, or transfer to another
v. make receptive or willing towards an action or attitude or belief
v. place or put in a particular order"
purify,"v. remove impurities from, increase the concentration of, and separate through the process of distillation
v. make pure or free from sin or guilt
v. become clean or pure or free of guilt and sin"
filter,"n. device that removes something from whatever passes through it
n. an electrical device that alters the frequency spectrum of signals passing through it
v. remove by passing through a filter"
