abridge,"v. reduce in scope while retaining essential elements
v. lessen, diminish, or curtail"
validate,"v. declare or make legally valid
v. prove valid; show or confirm the validity of something
v. give evidence for
v. make valid or confirm the validity of"
vibrate,"v. shake, quiver, or throb; move back and forth rapidly, usually in an uncontrolled manner"
violate,"v. fail to agree with; be in violation of; as of rules or patterns
v. destroy"
advanced,"s. farther along in physical or mental development
s. comparatively late in a course of development
s. ahead of the times
s. at a higher level in training or knowledge or skill"
annoyed,"s. aroused to impatience or anger
s. troubled persistently especially with petty annoyances"
celebrated,"s. widely known and esteemed
s. having an illustrious past"
checked,s. patterned with alternating squares of color
chilled,"v depress or discourage
v make cool or cooler
v loose heat"
cramped,s. constricted in size
crooked,"a. having or marked by bends or angles; not straight or aligned
a. not straight; dishonest or immoral or evasive"
cultivated,"a. (of land or fields) prepared for raising crops by plowing or fertilizing
s. no longer in the natural state; developed by human care and for human use"
dated,s. marked by features of the immediate and usually discounted past
dehydrated,s. suffering from excessive loss of water from the body
destined,"v decree or designate beforehand
v design or destine
s headed or intending to head in a certain direction; often used as a combining form as in `college-bound students'
s (usually followed by `to') governed by fate"
disinterested,s. unaffected by self-interest
dogged,s. stubbornly unyielding
educated,"a. possessing an education (especially having more than average knowledge)
s. characterized by full comprehension of the problem involved"
entrenched,"s. dug in
s. established firmly and securely"
exalted,s. of high moral or intellectual value; elevated in nature or style
favored,s. preferred above all others and treated with partiality
light-hearted,s carefree and happy and lighthearted
marked,"s. strongly marked; easily noticeable
s. singled out for notice or especially for a dire fate
a. having or as if having an identifying mark or a mark as specified; often used in combination"
mottled,"v mark with spots or blotches of different color or shades of color as if stained
v colour with streaks or blotches of different shades
s having spots or patches of color"
naked,"s. having no protecting or concealing cover
s. (of the eye or ear e.g.) without the aid of an optical or acoustical device or instrument
s. devoid of elaboration or diminution or concealment; bare and pure
s. lacking any cover"
opposed,a. being in opposition or having an opponent
packed,s. pressed together or compressed
pointed,"a. having a point
s. direct and obvious in meaning or reference; often unpleasant"
pronounced,"v speak, pronounce, or utter in a certain way
v pronounce judgment on
s strongly marked; easily noticeable"
rugged,"a. sturdy and strong in constitution or construction; enduring
s. very difficult; severely testing stamina or resolution"
stylized,"v represent according to a conventional style
s using artistic forms and conventions to create effects; not natural or spontaneous"
sustained,s. maintained at length without interruption or weakening
unadorned,a. not decorated with something to increase its beauty or distinction
