textbook,n. a book prepared for use in schools or colleges
artist,n. a person whose creative work shows sensitivity and imagination
artistic,"a. relating to or characteristic of art or artists
s. satisfying aesthetic standards and sensibilities"
artist studio,none
ancient artists,none
individual artist,none
master artist,none
artistic vision,none
artistic style,none
artwork,n. photographs or other visual representations in a printed publication
art fair,none
art supply store,none
painter,"n. an artist who paints
n. a worker who is employed to cover objects with paint
n. a line that is attached to the bow of a boat and used for tying up (as when docking or towing)"
assistant,n. a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
drawing,"n. an illustration that is drawn by hand and published in a book, magazine, or newspaper
n. a representation of forms or objects on a surface by means of lines
n. the creation of artistic pictures or diagrams
n. act of getting or draining something such as electricity or a liquid from a source"
pencil drawing,none
portrait,"n. any likeness of a person, in any medium"
portrait artist,none
portrait painting,none
portrait sculpture,none
portraiture,n. the activity of making portraits
painting,"n. graphic art consisting of an artistic composition made by applying paints to a surface
n. creating a picture with paints
n. the act of applying paint to a surface
n. the occupation of a house painter"
sketch,"n. preliminary drawing for later elaboration
n. a brief literary description
n. short descriptive summary (of events)
v. make a sketch of"
manuscript,"n. the form of a literary work submitted for publication
n. handwritten book or document"
depict,"v show in, or as in, a picture
v give a description of
v make a portrait of"
portray,"v. portray in words
v. make a portrait of
v. represent abstractly, for example in a painting, drawing, or sculpture"
brushstroke,none
canvas,"n. a heavy, closely woven fabric (used for clothing or chairs or sails or tents)
n. an oil painting on canvas fabric
n. the setting for a narrative or fictional or dramatic account
n. the mat that forms the floor of the ring in which boxers or professional wrestlers compete"
