similar,"a. marked by correspondence or resemblance
s. (of words) expressing closely related meanings"
stare,"n. a fixed look with eyes open wide
v. fixate one's eyes"
glare,"n. a light within the field of vision that is brighter than the brightness to which the eyes are adapted
n. an angry stare
v. be sharply reflected
v. shine intensely"
overlook,"n. a high place affording a good view
v. look past, fail to notice
v. watch over"
boil,"n. a painful sore with a hard core filled with pus
v. come to the boiling point and change from a liquid to vapor
v. immerse or be immersed in a boiling liquid, often for cooking purposes
v. bring to, or maintain at, the boiling point"
mess,"n. a state of confusion and disorderliness
n. soft semiliquid food
n. a meal eaten in a mess hall by service personnel
n. a (large) military dining room where service personnel eat or relax"
various,"s of many different kinds purposefully arranged but lacking any uniformity
s considered individually
s distinctly dissimilar or unlike
s having great diversity or variety"
diverse,s. distinctly dissimilar or unlike
affair,"n. a usually secretive or illicit sexual relationship
n. a vaguely specified social event"
task,v. assign a task to
dislike,"n. a feeling of aversion or antipathy
v. have or feel a dislike or distaste for"
shortly,"r. for a short time
r. at a short distance"
blow,"n. a powerful stroke with the fist or a weapon
n. an impact (as from a collision)
n. forceful exhalation through the nose or mouth
v. exhale hard"
topic,n. some situation or event that is thought about
subject,"n. the subject matter of a conversation or discussion
n. something (a person or object or scene) selected by an artist or photographer for graphic representation
n. (grammar) one of the two main constituents of a sentence; the grammatical constituent about which something is predicated
n. a person who is subjected to experimental or other observational procedures; someone who is an object of investigation"
subjective,a. taking place within the mind and modified by individual bias
knock,"n. the sound of knocking (as on a door or in an engine or bearing)
n. negative criticism
n. a vigorous blow
n. a bad experience"
share,"n. assets belonging to or due to or contributed by an individual person or group
n. any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate
v. have in common
v. use jointly or in common"
realise,"v earn on some commercial or business transaction; earn as salary or wages
v convert into cash; of goods and property
v expand or complete (a part in a piece of baroque music) by supplying the harmonies indicated in the figured bass
v make real or concrete; give reality or substance to
v be fully aware or cognizant of
v perceive (an idea or situation) mentally"
