a,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen"
dear,"s. with or in a close or intimate relationship
s. earnest"
death,"n. the event of dying or departure from life
n. the permanent end of all life functions in an organism or part of an organism
n. the absence of life or state of being dead
n. the time when something ends"
December,n. the last (12th) month of the year
deep,"n. the central and most intense or profound part
n. literary term for an ocean
a. relatively deep or strong; affecting one deeply
s. marked by depth of thinking"
deer,n. distinguished from Bovidae by the male's having solid deciduous antlers
delicious,n. variety of sweet eating apples
desk,n. a piece of furniture with a writing surface and usually drawers or other compartments
dialogue,"n. a conversation between two persons
n. the lines spoken by characters in drama or fiction
n. a literary composition in the form of a conversation between two people"
diary,"n. a daily written record of (usually personal) experiences and observations
n. a personal journal (as a physical object)"
dictionary,n. a reference book containing an alphabetical list of words with information about them
die,"n. a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers
n. a device used for shaping metal
n. a cutting tool that is fitted into a diestock and used for cutting male (external) screw threads on screws or bolts or pipes or rods
v. pass from physical life and lose all bodily attributes and functions necessary to sustain life"
different,"a. unlike in nature or quality or form or degree
s. distinctly separate from the first
s. differing from all others; not ordinary
s. distinct or separate"
difficult,a. not easy; requiring great physical or mental effort to accomplish or comprehend or endure
dinner,"n. the main meal of the day served in the evening or at midday
n. a party of people assembled to have dinner together"
dirty,"v. make soiled, filthy, or dirty
a. soiled or likely to soil with dirt or grime
a. (of behavior or especially language) characterized by obscenity or indecency
s. vile; despicable"
dish,"n. a piece of dishware normally used as a container for holding or serving food
n. a particular item of prepared food
n. the quantity that a dish will hold
n. directional antenna consisting of a parabolic reflector for microwave or radio frequency radiation"
do,"n. the syllable naming the first (tonic) note of any major scale in solmization
v. get (something) done
v. proceed or get along
v. create or design, often in a certain way"
doctor,"n. a licensed medical practitioner
n. children take the roles of physician or patient or nurse and pretend they are at the physician's office
n. a person who holds Ph.D. degree (or the equivalent) from an academic institution
v. give medical treatment to"
doll,n. a small replica of a person; used as a toy
dollar,"n. the basic monetary unit in many countries; equal to 100 cents
n. a piece of paper money worth one dollar
n. a United States coin worth one dollar
n. a symbol of commercialism or greed"
door,"n. a swinging or sliding barrier that will close the entrance to a room or building or vehicle
n. anything providing a means of access (or escape)
n. a structure where people live or work (usually ordered along a street or road)
n. a room that is entered via a door"
down,"n. soft fine feathers
n. (American football) a complete play to advance the football
n. English physician who first described Down's syndrome (1828-1896)
n. (usually plural) a rolling treeless highland with little soil"
downstairs,"a. on or of lower floors of a building
r. on a floor below"
dragon,"n. a creature of Teutonic mythology; usually represented as breathing fire and having a reptilian body and sometimes wings
n. a fiercely vigilant and unpleasant woman
n. any of several small tropical Asian lizards capable of gliding by spreading winglike membranes on each side of the body"
draw,"n. a gully that is shallower than a ravine
n. the finish of a contest in which the score is tied and the winner is undecided
n. anything (straws or pebbles etc.) taken or chosen at random
n. a playing card or cards dealt or taken from the pack"
dream,"n. a series of mental images and emotions occurring during sleep
n. imaginative thoughts indulged in while awake
n. a state of mind characterized by abstraction and release from reality
n. someone or something wonderful"
