accomplishment,n. the action of accomplishing something
manifest,"n. a customs document listing the contents put on a ship or plane
v. record in a ship's manifest
v. reveal its presence or make an appearance"
material,"n. the tangible substance that goes into the makeup of a physical object
n. information (data or ideas or observations) that can be used or reworked into a finished form
n. things needed for doing or making something
n. a person judged suitable for admission or employment"
mathematics,n. a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement
maximum,"n. the largest possible quantity
n. the point on a curve where the tangent changes from positive on the left to negative on the right"
memo,n. a written proposal or reminder
mold,"n. container into which liquid is poured to create a given shape when it hardens
n. loose soil rich in organic matter
n. a fungus that produces a superficial growth on various kinds of damp or decaying organic matter"
neoclassical,s characteristic of a revival of an earlier classical style
original,"n. something that serves as a model or a basis for making copies
s. preceding all others in time or being as first made or performed
s. (of e.g. information) not secondhand or by way of something intermediary
a. being or productive of something fresh and unusual; or being as first made or thought of"
ornament,v. be an ornament to
outline,"n. the line that appears to bound an object
n. a sketchy summary of the main points of an argument or theory
n. a schematic or preliminary plan"
oyster,"n. marine mollusks having a rough irregular shell; found on the sea bed mostly in coastal waters
n. a small muscle on each side of the back of a fowl
v. gather oysters, dig oysters"
paddle,"n. small wooden bat with a flat surface; used for hitting balls in various games
n. a blade of a paddle wheel or water wheel
n. an instrument of punishment consisting of a flat board
n. a short light oar used without an oarlock to propel a canoe or small boat"
perception,"n. a way of conceiving something
n. the process of perceiving
n. knowledge gained by perceiving"
perceptive,"a. of or relating to perception
a. having the ability to perceive or understand; keen in discernment"
pretentious,a. making claim to or creating an appearance of (often undeserved) importance or distinction
proceed,"v. move ahead; travel onward in time or space
v. follow a certain course"
puncture,"n. loss of air pressure in a tire when a hole is made by some sharp object
n. a small hole made by a sharp object
n. the act of puncturing or perforating
v. pierce with a pointed object; make a hole into"
rebel,"n. `Johnny' was applied as a nickname for Confederate soldiers by the Federal soldiers in the American Civil War; `greyback' derived from their grey Confederate uniforms
v. take part in a rebellion; renounce a former allegiance
v. break with established customs"
recall,"n. a request by the manufacturer of a defective product to return the product (as for replacement or repair)
n. a call to return
n. a bugle call that signals troops to return
n. the process of remembering (especially the process of recovering information by mental effort)"
relevance,n. the relation of something to the matter at hand
remains,n. any object that is left unused or still extant
resistant,s. impervious to being affected
rural,"a. living in or characteristic of farming or country life
a. of or relating to the countryside as opposed to the city"
rustic,n. an unsophisticated country person
sculpt,"v. create by shaping stone or wood or any other hard material
v. shape (a material like stone or wood) by whittling away at it"
selective,"s. tending to select; characterized by careful choice
s. characterized by very careful or fastidious selection"
