Abacavir,"n. 【药】阿巴卡韦
[网络] 阿巴卡伟；阿巴卡韦及片；阿卡维尔"
amoxicillin,[化] 阿莫西林; 羟氨苄青霉素
amphetamine,"n. 苯丙胺, 安非他明
[化] 苯丙胺; 苯异丙胺; 安非他民; 1-苯基-2-丙胺"
amphipathic,a. [生化]两性分子的 (=amphiphilic)
amphiphilic,a. [生化]两性分子的
amphitheater,"n. 圆形剧场, 竞技场, 梯形看台"
amphotericin,[医] 两性霉素
ampicillin,"n. 氨苄青霉素
[化] 氨苄西林; 氨苄青霉素"
ample,"a. 大量的, 充足的, 丰富的"
amplicon,扩增子
amplification,"n. 扩大, 放大
[化] 放大; 放大作用"
amplifier,"n. 扩大的人(物), 放大器, 扩音器
[计] 放大器"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
amplitude,"n. 广阔, 充足, 幅度
[化] 振幅"
ampoule,"n. 安瓿
[化] 安瓿; 针药管; 安瓿剂; 针药; 壶腹"
ampullary,"[医] 壶腹的, 壶腹状的"
amputate,"vt. 切断, 删除"
amputation,"n. 切断, 截肢术
[医] 切断术"
amycolatopsis,拟无枝菌酸菌
amygdala,"n. 巴旦杏, 扁桃, 扁桃体
[医] 苦扁桃, 苦巴旦杏, 扁桃体, 杏仁核"
amygdalase,"苦杏仁苷酶, 扁桃苷分解酶, 苦杏仁酶"
amygdale,n. [矿] 杏仁孔
amylase,"n. 淀粉酶
[化] 淀粉酶"
amyloid,"a. 淀粉的, 含淀粉的
n. 淀粉质食物, 淀粉状蛋白"
amyloidosis,[医] 淀粉样变性
amylopectinosis,支链淀粉病
amyotrophy,[医] 肌萎缩
anabolic,"a. 合成代谢的
[医] 组成代谢的, 同化的"
anabolism,"n. 合成代谢
[化] 合成代谢"
anaerobe,厌氧性微生物
anaerobic,厌氧的
anal,"a. 肛门的, 肛门附近的
[计] 分析员"
analgesia,痛觉缺失
analgesic,"a. 止痛的, 痛觉缺失的
n. 止痛剂"
analgin,[化] 安乃近
analog,[计] 模拟
analogous,"a. 类似的, 相似的
[医] 类似的, 类同的"
analogy,"n. 相似, 类似
[计] 模拟"
analyse,"vt. 分析, 细察, 分解
[经] 分析"
analysis,"n. 分析
[计] 分析机; 分析员; 分析; 分析程序"
anamnestic,"a. 记忆的, 回想的
[医] 记忆的, 既往症的"
anaphase,n. [生](细胞分裂的)后期
anaphylactic,"a. 过敏性, 过敏反应
[医] 过敏性的"
anaphylactogen,[医] 过敏原
anaphylatoxin,过敏毒素
anaphylaxis,"n. 过敏性
[医] 过敏性, 过敏症, 过敏反应"
anaplasia,n. [医]退行发育
anaplasmosis,[医] 微粒孢子虫病
anaplastic,"a. [医]还原成形术的,整形术的,退行发育术的"
anapnotherapy,吸入疗法
anastomose,"vt.vi. (使)吻合
[医] 吻合"
anastomosis,"n. 接合, 相接
[医] 吻合, 吻合术"
anastomotic,[医] 吻合的
anatomic,"a. 解剖的, 结构上的, 解剖学上的
[医] 解剖学的"
anatomist,"n. 解剖学家
[医] 解剖学家"
anatomy,"n. 剖析, 解剖学, 骨骼, 结构
[医] 解剖学, 解剖"
anatoxin,"n. [微]去毒毒素,类毒素,变性毒素"
ancestor,"n. 祖先, 祖宗"
ancestral,"a. 祖先的, 祖传的
[法] 祖先的, 祖传的"
ancylostomiasis,n. 钩虫病
androgen,"n. 雄激素
[化] 雄性激素"
andrographolide,[化] 穿心莲内酯
andrology,n. 男科学
androstenedione,"[化] 雄甾烯二酮
[医] 雄甾烯二酮"
anecdotal,"a. 轶事的, 爱谈奇闻轶事的, 多轶事的"
anemarrhena,[医] 知母属
anemia,"n. 贫血, 贫血症, 无活力
[医] 贫血"
anemic,"a. 贫血的, 患贫血症的, 无活力的
[医] 贫血的"
anemonin,"[化] 白头翁素; 银莲花素
[医] 白头翁素"
anencephalus,[医] 无脑畸胎
anergia,"[医] 无变应性, 无力"
anergic,"[医] 无活动力的, 无力的, 无变应性的"
anergy,"n. [医]无反应力,无力"
anesthesia,"n. 麻醉, 麻木
[化] 麻醉; 失去知觉"
anesthesiologist,"n. 麻醉学者
[医] 麻醉学家"
anesthetic,"n. 麻醉剂, 麻药
a. 麻醉的"
anesthetist,"n. 麻醉师
[医] 麻醉师"
anesthetization,"n. 麻醉, 麻木
[医] 麻醉法"
anesthetize,"vt. 使麻木, 使麻醉
[医] 使麻醉"
aneuploid,a. 非整倍的
aneurysm,"n. 动脉瘤
[医] 动脉瘤"
aneurysmectomy,[医] 动脉瘤切除术
angelica,"n. 当归属植物
[化] 当归"
angiitis,[医] 脉管炎
angina,"n. 咽痛, 绞痛
[医] 咽峡炎, 咽痛, 绞痛"
angina pectoris,心绞痛
anginal,"[医] 咽峡炎的, 咽痛的, 绞痛的"
angiocardiogram,n. [医]心血管X线照片
angiocardiography,[医]心血管造影术
angioedema,[医] 血管[神经]性水肿
angiofibroma,[医] 血管纤维瘤
angiogenesis,"[医] 血管生成, 血管发生"
angiogram,n. [医]血管造影(照)片
angiography,"n. 血管造影术
[医] 血管造影术, 血管照相术, 血管学"
angioma,"n. [医]血管瘤, 血管肿"
angiomyolipoma,"n. 血管肌脂瘤
[网络] 脂肪瘤；血管平滑肌脂肪瘤；血管肌脂肪瘤"
angioneurotic,[医] 血管神经病的
angioplasty,[医] 血管成形术
angiostatin,"血管稳定因子
血管抑素"
angiotensin,"n. 血管紧张素
[化] 血管紧张肽; 血管紧张素"
anhidrosis,"n. [医]汗缺乏, 缺汗症"
anhydrase,"n. 脱水酶, 去水酶
[化] 脱水酶"
anicteric,[医] 无黄疸的
animal,[网络] 动物
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
animation,"n. 活泼, 生气, 激励, 卡通制作
[计] 动画"
anion,"n. 阴离子
[化] 阴离子"
anisocytosis,[医] 红细胞[大小]不均
ankle,"n. 踝
[医] 踝, 踝关节"
ankylosing,v. 胶住( ankylose的现在分词 ); 胶着; 使僵硬; 使骨愈合僵硬
annals,"n. 编年史, 活动年报, 历史"
anneal,"vt. 使退火
[医] 退火, 炼韧"
annihilation,"n. 歼灭, 湮灭
[化] 消灭; 湮灭; 湮灭"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
annually,"adv. 一年一次, 每年
[经] 年度的, 每年的"
anomalous,"a. 不规则的, 反常的
[医] 异常的, 反常的"
anomaly,"n. 不规则, 反常事物, 畸形
[医] 异常, 反常"
anorchia,[医] 无睾[畸形]
anorexia,"n. 食欲缺乏, 厌食
[医] 食欲缺乏, 厌食"
anovulation,n. [医]停止排卵
anovulatory,"a. [医]无卵性的, 阻止排卵的"
anoxia,"n. 缺氧症
[医] 缺氧[症]"
anoxic,a. 缺氧(症)
anoxygenic,[网络] 无氧的
antacid,"n. 抗酸剂，解酸药
adj. 中和酸的"
antagonism,"n. 对立, 敌对, 敌意
[化] 拮抗作用; 消效作用"
antagonist,"n. 敌手, 对手
[化] 对抗物; 拮抗物; 反协同剂; 反协同试剂"
antagonistic,"a. 对抗的, 敌对的
[化] 拮抗药"
antagonize,"vt. 使对抗, 使敌对, 反对
vi. 引起反抗"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
antegrade,"[医] 前进的, 顺行的"
antemortem,[医] 死前
antenatal,"adj. 出生前的
[网络] 产前；产前房"
antepartum,"[医] 分娩前, 产前"
anterior,"a. 前面的, 先前的
[医] 前的"
anteriorly,"adv. 先前地；居先地；在前面, 在以前"
anteroposterior,前后轴
anterosuperior,[医] 前上的
anterosuperiorly,[医]adv.在前上方
anthelmintic,"a. 驱肠虫的
n. 驱肠虫剂"
anthrax,"n. 炭疽
[医] 炭疽(脾脱疽)"
antiandrogen,抗雄激素
antiantibody,抗-抗体
antiarrhythmic, 抗心律失常药
antiatherosclerotic,抗动脉粥样硬化药[剂]
antibacterial,抗菌的
antibiotic,"a. 抗生的；抗菌的
n. 抗生素, 抗菌素"
antibody,[机] 抗体
anticholinergic,a. 反副交感神经生理作用的
anticholinesterase,n. [生化]抗胆碱酯酶(如毒扁豆碱)
anticipate,"vt. 预期, 占先, 加速, 提前使用
[医] 提前出现, 先期发生"
anticipation,"n. 预期, 预料
[医] 提前出现(如遗传病)"
anticoagulant,[机] 阻凝剂
anticoagulation,n. 抗凝作用
anticodon,反密码子
anticomplement,[医] 抗补体
anticonceptive,[医] 避孕剂
anticongestive,无
anticonvulsant,adj. 抗痉挛的，抗惊厥的
antidepressant,n. 抗抑郁药; 使人放松（或快乐）的事物；解忧良药
antidiarrheal,"n. 止泻剂
adj. 止泻的"
antidiuretic,"a. 制尿
n. 制尿剂"
antidote,"n. 解毒剂, 解毒药
[化] 解毒药"
antidysrhythmic,[医]抗节律不齐药，抗心律不齐药
antiemetic,[网络] 止吐效果；镇吐药；止吐剂
antiendotoxin,抗内毒素单克隆抗体
antiepileptic,抗癫痫药
antiestrogen,n. [药] 抗雌激素（一种能抑制雌激素的产生、活动及作用的物质）
antifungal,抗真菌
antigen,"n. 抗原
[化] 抗原"
antigenic,"a. 抗原
[医] 抗原的"
antigenicity,"n. 抗原性
[化] 抗原性"
antihistamine,抗组织氨
antihistaminic,"[化] 抗组织胺药
[医] 抗组胺的, 抗组胺剂"
antihypertensive,抗高血压
anti-idiotype,n. 把另一种抗体视为抗原并抑制其免疫反应性的抗体
Antiidiotypic,adj. anti-idiotype的变形
antiinflammatory,"un. 抗炎的；消炎药；消炎的
[网络] 抗发炎；消炎镇痛类产品；消炎效果"
antimalarial, [医]抗疟疾药
antimetabolite,n. [医]抗代谢物
antimicrobial,n. 抗菌
antimicrobic,"[医] 抗微生物的, 抗菌的"
antimony,"n. 锑
[化] 锑Sb"
antimutagen,抗变剂
antineoplastic,[网络] 菠萝酶同时具有抗肿瘤；抗肿瘤
antineutrino,反微中子
antioncogene,"抗癌基因,抑癌基因"
antioxidant,[机] 抗氧化剂
antioxidation,[机] 抗氧化
antiproliferative,[网络] 抗增生；细胞增殖
antiprostaglandin,[网络] 抗前列腺素；抗前列腺素活性
antipruritic,"n. 止痒剂
a. 止痒的, 防痒的"
antipsychotic,"adj. 治疗精神病的，抗精神病的
n. 安定药"
antipyresis,退热(疗)法
antipyretic,[网络] 退热药
antipyrine,n. 【药物】安替比林(解热镇痛药)
antirachitic,a. [医]治疗佝偻症的
antiretroviral,adj. 抗逆转录病毒的
antirheumatic,抗风湿药
antiscorbutic,"a. 抗坏血病的
n. 抗坏血病的药剂"
antisense,反义
antisepsis,"n. 防腐, 抗菌
[医] 抗菌[法]"
antiseptic,"adj. 防腐的，抗菌的；非常整洁的
n. 防腐剂，抗菌剂"
antiserum,[网络] 抗血清
antisterility,[医] 抗不育的
antistreptolysin,[医] 抗链球菌[溶血]素
antithrombin,抗凝血酶
antithyroid,[网络] 抗甲状腺
antitoxin,n. 抗毒素；抗毒素血清
antituberculous,a. (药物等)抗结核的
antitussive,是一种祛痰镇咳药
antiulcer,抗溃疡
antiviral,"a. 抗病毒的；抗滤过性病原体的
n. 抗病毒物质（等于antidote）"
antral,"a. 窦, 室, 房
[医] 窦的"
antrectomy,[医] 窦切除术(如幽门窦切除术、鼓窦凿开术)
antrophose,[医] 中枢性光幻觉
antrum,"n. 窦, 房
[医] 窦, 房"
anucleate,无核生物; 缺胞核的
anuria,"n. 无尿(症)
[医] 无尿[症]"
anus,suf. [源自拉丁语的科技词汇的后缀]
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
[医] 焦虑"
anxious,"a. 忧虑的, 发愁的, 渴望的"
aorta,"n. 主动脉
[医] 主动脉"
aortic,"a. 主动脉的
[医] 主动脉的"
aortitis,[医] 主动脉炎
aortoprosia,主动脉下垂
apathetic,adj. 冷漠的；无动于衷的，缺乏兴趣的
apathy,"n. 无感情, 无兴趣, 冷漠
[医] 无情[感], 淡漠"
apelin,[网络] 脂肪细胞因子；活性多肽；脂肪炎症因子
aperture,"n. 孔, 缝隙, 孔径
[计] 窗孔; 小孔"
apex,"abbr. Association of Professional,Executive,Clerical,and Computer Staff (英国)职业、行政、办事及计算机运算人员协会"
aphagia,"(=agllutition)吞咽不能, 不能取食"
aphanizomenon,n. 【细菌】束丝藻属
aphasia,"n. 失语症
[医] 语言不能, 失语[症]"
aphasic,"[医] 语言不能的, 失语的; 语言不能者, 失语者"
aphonia,"n. 失音
[医] 失音[症], 发音不能"
apical,"a. 顶端的
[医] 尖的, 尖端的"
apicostomy,[医] [牙]根尖造口术
aplasia,"n. [医]发育不全, 成形不完全,先天萎缩"
aplastic,[网络] 塑料
apnea,"n. 呼吸暂停, 窒息
[医] 呼吸暂停, 窒息"
apoenzyme,[网络] 酶蛋白
apolipoprotein,n. [生化]阿朴脂蛋白
apomorphine,"n. [药]阿朴吗啡,脱水吗啡"
aponecrosis,无
aponeurosis,n. [解]腱膜
apophysis,"n. 骨突, 蒴托
[医] 骨突"
apoplexy,"n. 中风
[医] 卒中, 中风"
apoprotein,n. [生化]脱辅基蛋白
apoptosis,n. 细胞凋亡；细胞死亡
apoptotic, [医]细胞凋亡的
apparatus,"n. 装置, 器具, 器官
[化] 仪器; 器械"
apparent,"a. 清晰可见的, 显然的, 表面上的
[电] 外在的"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
appealing,"a. 有感染力的, 动人的, 恳求的"
appear,"vi. 出现, 显得, 来到
[法] 出庭, 到案, 出现"
appearance,n. 外貌，外观；出现，露面
appendage,"n. 附加物, 附器
[医] 附件, 附器"
appendectomy,"n. 阑尾切除术
[医] 阑尾切除术; 附件切除术"
appendicitis,"n. 阑尾炎
[医] 阑尾炎"
appendix,"n. 附录, 附加物, 阑尾
[化] 增补"
appetite,"n. 食欲, 欲望, 爱好
[医] 食欲"
appetizer,"n. 开胃食品, 吊胃口的东西
[医] 开胃剂"
appetizing,"a. 开胃的, 促进食欲的, 鲜美可口的"
appliance,"n. 器械, 用具, 应用
[医] 矫正器; 器"
applicability,"n. 适用性, 应用性
[法] 适用性, 适应性"
applicable,"a. 合适的, 可应用的
[法] 适用的, 适应的"
applicant,"n. 申请者
[经] 申请人, 请求人, 谋事人"
application,"n. 应用, 申请, 志愿书, 应用程序
[计] 应用, 应用程序"
applicator,"[医] 声极(超声治疗用); 敷料器, 涂药器"
applied,"a. 应用的
[机] 应用的; 应用, 申请"
apply,"vt. 涂, 应用
vi. 申请, 适用"
appraisal,"n. 评价, 估价
[经] 评价, 评估"
appraise,"vt. 评价, 估价
[经] 评价, 鉴定"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
appreciation,"n. 感激, 赏识, 鉴别
[经] 涨价, 增值"
apprehension,"n. 理解, 忧惧, 逮捕
[医] 领会"
apprehensive,"a. 惴惴不安的, 敏悟的, 知晓的"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
appropriate,"adj. 适当的
vt. 占用；拨出"
appropriateness,n. 适当；适合
approval,"n. 赞成, 批准
[化] 核准"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
approximately,"adv. 大约, 大致, 近于
[经] 大约, 近似"
apraxia,"n. [医]运用不能症, 精神性失用症"
aprotinin,[化] 抑肽酶
apt,[医] 明矾沉淀类毒素
aptitude,"n. 资质, 才能, 自然倾向
[医] 资质, 才能"
aquacoat,乙基纤维素水分散体
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
aqueous,"a. 水的, 似水的, 水成的
[化] 水的; 含水的; 水成的"
arachidonate,[网络] 花生四烯酸；花生四烯酸盐
arachnoid cyst,[医] 蛛网膜囊右
arachnoiditis,(=arachnitis)蛛网膜炎
arbitrarily,"adv. 任意地, 武断地, 专横地, 反复无常地"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
arbitrator,"n. 仲裁人, 公断者
[经] 公断人, 仲裁人"
arborization,"n. 树枝状
[医] [树枝]分枝"
arbovirus,"n. [微]虫媒病毒,(蚊虫等)节肢动物传染病毒"
arbutin,"[化] 熊果苷; 对苯二酚葡糖苷
[医] 熊果甙, 杨梅甙"
arc,"n. 弧；弧形；弓形；【数】弧
abbr. (=American Radio Corporation)美国无线电公司
v. 作弧形运动；【科技】形成电弧
[网络] 圆弧；弧光；弧线"
arch," 表示“原始的”; 表示“统治者”, “首领”, “领导者”"
archaea,n. 古生菌
architecture,"n. 建筑学, 建筑式样
[计] 体系结构"
archive,"vt. 把...存档
n. 档案馆, 档案文件
[计] 挡案库, 存档"
arctiin,"牛蒡子苷,牛蒡子甙"
arctinal,牛蒡子醛
areca,"n. 槟榔树, 槟榔
[化] 槟榔属"
areflexia,"无反射, 反射消失"
arenavirus,沙粒病毒
areola,"n. 细隙, 网隙
[医] 晕; 细隙, 小区"
arginine,"[化] 精氨酸
[医] 精氨酸, 胍基戊氨酸"
argininemia,精氨酸血症
argininosuccinic acid,[化] 精氨琥珀酸; 精氨基琥珀酸
argon,"n. 氩
[化] 氩Ar"
aristogenesis,芒状发生
aristogenics,(=eugenics)优生学
armamentarium,[医] 医疗设备
armpit,[医] 腋窝
aromatherapy,n. 用香料按摩
aromatic,"a. 芬芳的
[医] 芳香的; 芳香剂"
aromatization,"香花作用, 芳构化, 香料, 香味"
arousal,"n. 奋发, 激励"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
arrangement,"n. 排列, 整齐, 安排
[计] 排列"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
arrhythmia,"n. 心律不齐
[医] 心律失常, 心律不齐, 无节律"
arrhythmogenic,致心律失常性
arseniasis,慢性砷中毒
arsenic,"n. 砷, 砒霜
[化] 砷As"
arsenism,n. 慢性砷中毒
arterial,"a. 动脉的, 脉络状的, 干线的
[医] 动脉的"
arteriography,"n. 动脉造影术
[医] 动脉搏描记法; 动脉造影术"
arteriolar,a. 小动脉的
arteriole,"n. 小动脉
[医] 小动脉"
arteriolosclerosis,[医] 小动脉硬化
arteriosclerosis,"n. 动脉硬化
[医] 动脉硬化"
arteriosclerotic,[医] 动脉硬化的
arteriovenous,adj. 动静脉的
arteritis,"n. 动脉炎
[医] 动脉炎"
artery,"n. 动脉, 干道, 要道
[医] 动脉"
arthralgia,n. [医]关节痛
arthritic,"a. 关节炎的
[医] 关节炎的; 关节炎患者"
arthritis,"n. 关节炎
[医] 关节炎"
arthrodesis,"n. [医]关节固定术,人为关节强硬术"
arthrogram,"关节造影片, 关节Ｘ线照片"
arthrography,关节造影术[摄影术]
arthrogryposis,n. [医]关节弯曲
arthropathy,"n. 关节病
[医] 关节病"
arthroplasty,[医] 关节成形术
arthropod,"n. 节肢动物
[医] 节肢动物"
arthroscope,n. [医]关节内窥镜
arthrospore,n. 分节孢子
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
[计] 信件"
articular,"a. 关节的
[计] 关节的"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
articulation,"n. 关节, 接合, 连贯, 发音, 表达
[计] 清晰度"
artifact,"n. 人工制品
[医] 人为现象, 人工产物"
artificial,"a. 人造的, 假的, 非原地产的
[医] 人工的, 人造的, 伟牟"
artificially,"adv. 人工地, 人为地, 不自然地"
arundina,n. 竹叶兰属
arylhydrocarbon, [医]芳（香）烃
asbestos,"n. 石棉
[化] 石棉"
asbestosis,"n. 石棉沉着病
[化] 石棉肺; 石棉尘肺"
ascariasis,n. 蛔虫病
ascaris,n. [动]蛔虫
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
ascendancy,"n. 优势, 支配地位"
ascending,"a. 上升的, 向上的
[计] 递增"
ascertain,"vt. 确定, 查明
[法] 查明, 弄清, 确定"
ascites,"n. 腹水
[医] 腹水"
ascitic,[医] 腹水的
ascorbic,a. 维生素C的
ascospore,n. [植]囊孢子
ascribe,"vt. 归因于, 归咎于
[法] 归咎于"
ascus,"n. 子囊
[医] 子囊"
asepsis,"n. 无菌, 无菌法
[医] 无菌; 无菌法"
aseptic,"n. 防腐剂
a. 无菌的"
asexual,"a. 无性的, 无性生殖的
[医] 无性的"
aspartame,[化] 阿司帕坦; 天冬甜素
aspartate,[机] 门冬氨酸盐
aspect,"n. 外观, 方面, 面貌, 方向
[医] 方面, 局面; 外观"
aspergillosis,"[医] 曲霉病, 曲菌病"
aspergillus,[微]曲霉菌
asphalt,"n. 柏油
a. 用柏油铺成的
vt. 以柏油铺"
asphyxia,"n. 窒息
[医] 窒息; 无脉, 绝脉(旧名)"
aspirate,"vt. 送气发音, 以/h/音开始读出, 吸
n. /h/音, 送气音
a. 送气音的, /h/音的"
