accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
boat,"n.小船,艇v.划船"
body,"n.身体,肉体,人,尸体,主要部分,团体,大量vt.赋以形体"
boil,"n.沸点,沸腾,疖子v.煮沸,激动"
bomb,"n.炸弹vt.投弹于,轰炸"
bone,n.骨v.剔除
book,"n.书,书籍,卷,篇,帐簿,名册,工作簿v.登记,预订,控告"
boot,"n.<美> (长统)靴,靴子v.导入"
booth,"n.货摊,售货亭,棚"
border,"n.边界,国界,边,边沿,边境vt.与...接壤,接近v.接壤"
bore,"n.令人讨厌的人,怒潮,枪膛,孔v.使烦扰,钻孔 钻孔"
born,"adj.天生的,原本,天生就...的 vbl.出生"
borrow,"v.借,借入,借用"
botany,n.植物学
bottom,"n.底,底部,尽头,末端adj.底部的vt.装底,查明真相,测量深浅vi.到达底部,建立基础"
bowel,"n.肠adj.内部,同情心"
bowl,"n.碗,碗状物,木球v.滚,(板球)投球"
bowling,n.保龄球
brain,"n.脑,头脑"
brake,"n.闸,刹车v.刹车"
branch,"n.枝,分枝,分部,分店,(学科)分科,部门,支流,支脉v.出现分歧"
brave,adj.勇敢的
bread,"n.面包,生计"
breakfast,n.早餐vi.进早餐
breath,"n.呼吸,气息,气味,空气,微风,暂停,瞬间"
breeze,"n.微风,煤屑,焦炭渣,轻而易举的事,小风波vi.吹微风,逃走"
brick,"n.砖,砖块,砖形物(如茶砖,冰砖等),<口>心肠好的人"
bride,n.新娘
bridge,"n.桥,船桥,鼻梁,桥牌vt.架桥,渡过;网桥"
brief,"n.摘要,大纲adj.简短的,短暂的vt.摘要,(军事)下达简令"
bright,"adj.明亮的,辉煌的,欢快的,聪明的,伶俐的"
bring,"vt.拿来,带来,产生,引起,提出(诉讼)vi.停下"
broad,"adj.宽的,阔的,广泛的,明朗的,露骨的,显著的,主要的adv.宽阔地n.宽阔部分"
broadcast,"n.广播,播音v.播撒(种子),广播 (无线电或电视)广播 播送,播放"
brook,n.小溪vt.容忍
brother,n.兄弟
brown,"n.褐色adj.褐色的,棕色的v.(使)成褐色,晒黑"
brush,"n.刷子,毛刷,画笔vt.刷,掸,拂"
bubble,"n.泡沫,幻想的计划vi.起泡,潺潺的流"
budget,"n.预算vi.做预算,编入预算"
build,"v.建造,建筑n.构造,体格,体形"
bulb,"n.鳞茎,球形物"
bull,"n.[动]公牛,粗壮如牛的人"
burglar,n.夜贼
burn,"v.烧,烧焦,点(灯),使感觉烧热n.烧伤,灼伤"
bury,"vt.埋葬,掩埋,隐藏"
bush,"n.矮树丛,(机械)衬套"
business,"n.商业,买卖,交易,生意,事情,事物,营业,商行"
butcher,"n.屠夫,屠户vt.屠宰,屠杀"
butter,"n.黄油,牛油vt.涂黄油于...上"
butterfly,n.[动]蝴蝶 蝶泳
button,"n.钮扣,[计]按钮v.扣住,扣紧"
cabbage,"n.[植]甘蓝,卷心菜"
cage,"n.笼,槛,(矿井)贯笼"
calculate,"v.计算,考虑,计划,打算v.<美>以为,认为"
calendar,"n.日历,历法"
calm,"adj.(天气、海洋等)静的,平静的,镇静的,沉着的v.(使)平静,(使)镇定,平息"
calorie,n.卡路里
camel,"n.骆驼,[船](打捞用的)浮筒"
camera,n.照相机
camp,"n.露营地,阵营vi.露营,扎营"
cancel,"vt.取消,删去"
cancer,"n.癌,毒瘤"
candle,n.蜡烛vt.对着光检查
candy,"n.糖果,冰糖v.蜜饯,糖煮(水果)"
capital,"n.首都,首府,大写字母,资本,资金,资产adj.首都的,重要的,死罪的,大写的,<口>极好的"
captain,"n.队长,首领,船长,机长,(空军,海军)上校,(陆军)上尉v.指挥,统帅"
carbon,"n.[化]碳(元素符号C),(一张)复写纸"
career,"n.(原意:道路,轨道)事业,生涯,速度"
careful,"adj.小心的,仔细的"
carpet,n.地毯
carrier,"n.运送者,邮递员,带菌者,(自行车等)行李架,搬运器,航空母舰n.[电]载波(信号)"
carrot,n.胡萝卜
carry,"n.进位,射程,运载vt.携带,运送,支持,支撑,传送,意味vi.被携带,能达到"
cart,"n.大车,手推车vt.用车装载"
carve,"v.雕刻,切开"
case,"n.事,病例,案例,情形,场合,讼案,容器,(语法)格"
cash,n.现金vt.兑现
cassette,"n.盒子,盒式磁带"
castle,n.城堡
catch,"n.捕捉,捕获物,(窗)钩v.捕获,赶上(车船等),发觉,感染(疾病)vi.抓住,燃着"
catholic,n.天主教徒adj.天主教的
cattle,"n.牛,家养牲畜"
cause,"n.原因,导致某事发生的人或事,动机,理由,根据,目标,理想,事业vt.引起,惹起,使(发生),促成"
cave,"n.洞穴,窑洞vi.凹陷,投降vt.挖洞,使凹陷"
ceiling,"n.天花板,最高限度"
celebrate,"v.庆祝,祝贺,表扬,赞美,举行"
cell,"n.单元,细胞,蜂房,(尤指监狱或寺院的)单人房间,电池"
cellar,"n.地窖,地下室,酒窖,藏酒量"
cement,"n.水泥,接合剂vt.接合,用水泥涂,巩固vi.粘牢"
cent,"n.(货币单位)分,分币"
centigrade,"adj.分为百度的,百分度的,摄氏温度的"
centimetre,"n.厘米,公分"
centimeter,n.厘米
central,"adj.中心的,中央的,重要的,主要的,中枢的,走中间道路的n.<美>电话总机"
centre,"n.中心,中央,中心区v.集中"
center,"n.中心,中央,中心点,中锋adj.中央的,位于正中的vt.集中,使聚集在一点,定中心,居中vi.居中,有中心,被置于中心"
century,"n.世纪,百年,百个,板球中的一百分,百元(钞票)"
ceremony,"n.典礼,仪式,礼节,报幕员"
certain,"adj.确定的,某一个,无疑的,必然的,可靠的 pron.某几个,某些"
chain,"n.链(条),[常 pl.] 镣铐,一连串,一系列vt.用链条拴住"
chair,"n.椅子,教授职位,主席位,讲座vt.使入座,使就任要职"
chairman,"n.主席,会长"
chalk,"n.粉笔,白垩vt.用粉笔写,和以白垩"
champagne,"n.香槟酒,香槟色"
chance,"n.机会,可能性,偶然性,运气v.碰巧,偶然发生,冒...的险adj.偶然的"
change,"n.改变,变化,转变,找回的零钱,找头,辅币vt.改变,变革,改造,兑换"
chapter,n.(书籍)章
character,"n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物vt.写,刻,印,使具有特征"
charge,"n.负荷,电荷,费用,主管,掌管,充电,充气,装料v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费"
cheap,"adj.便宜的,不值钱的"
cheek,"n.颊,厚颜,类似颊的事物,<俚>臀部"
cheer,"n.愉快,欢呼v.(使)快活,(对)欢呼"
cheese,"n.干酪,<俚>头等的人或事物"
chef,n.厨师
chemical,"adj.化学的n.[常pl.] 化学制品,化学药品n.化学药品"
chemistry,n.化学
cheque,n.支票
cherry,"n.樱桃,樱桃树,如樱桃的鲜红色,<俚,鄙>处女膜,处女"
chess,n.国际象棋
chicken,"n.小鸡,小鸟,鸡肉"
chief,"n.首领,领袖,酋长,长官,主要部分,最有价值的部分adj.主要的,首要的,首席的,主任的"
childhood,n.孩童时期
chimney,"n.烟囱,灯罩"
china,"n.中国,瓷器"
chocolate,"n.巧克力,巧克力色"
choice,"n.选择,抉择,精选品,选择机会,选择权adj.精选的,上等的,挑三拣四的,可选的,宠爱的,爱惜的"
choose,"v.选择,选定"
Christ,
Christian,
Christmas,
church,"n.教堂,礼拜堂,教会,教派,[宗]礼拜"
cigar,n.雪茄
cigarette,"n.香烟,纸烟"
cinema,"n.电影院,电影"
circle,"n.圆周,圆形物,派系,循环v.围,环绕 盘旋"
citizen,"n.市民,公民"
clarity,"n.清楚,透明"
class,"n.班级,阶级,社会等级,种类,(一节)课vt.把...分类(或分等级)"
classmate,n.同班同学
clean,"adj.清洁的,干净的,清白的v.打扫,使干净,清扫"
clear,"adj.清楚的,清晰的,清澈的,光亮的,空旷的,有条理的adv.清楚地,完全地v.扫除,清除,晴,跳过,净得"
clerk,"n.职员,办事员,<美> 店员"
client,"n.[计]顾客,客户,委托人,客户机程序"
cliff,"n.悬崖,绝壁"
climb,"v.攀登,爬n.攀登,爬"
clinic,"n.门诊部,临床"
close,"v.关,关闭,结束,停止,使靠近,靠拢,会合,包围n.结束adj.近的,紧密的,精密的,齐根的,封闭的,亲密的,闷气的adv.接近,紧密地"
closet,"n.壁橱,储藏室,厕所adj.关起门来的vt.关入私室密谈"
cloth,"n.布,织物,衣料"
clothe,"vt.给...穿衣,覆盖"
clothes,"n.衣服,[总称]被褥,各种衣服,<美俚>家丑"
clothing,n.衣服
club,"n.俱乐部,夜总会,社,棍棒,(高尔夫球等的)球棒,(扑克牌)梅花vt.棍打,协作,联合,把...当棍棒用"
coach,"n.四轮大马车,长途汽车,教练v.训练,指导"
coal,n.煤v.加煤
coast,"n.海岸,滑坡v.沿海岸而行"
coat,"n.外套,(动物的)皮毛,(植物的)表皮,(漆等的)层,涂层vt.涂上,包上"
cocaine,"n.古柯碱,可卡因"
cock,"n.公鸡,雄鸟,头目,(水)龙头,<俚>阴茎vt.使耸立,使竖起,堆成锥形vi.大摇大摆地走,翘起"
coin,n.硬币vt.铸造(硬币)
coke,"n.可乐,焦炭v.(使)成焦炭"
cold,"n.寒冷,[物]零下温度,伤风,感冒adj.寒冷的,使人战栗的,冷淡的,不热情的,失去知觉的"
collar,
colleague,"n.同事,同僚"
collect,"v.收集,聚集,集中,搜集adj.由收件人付款的adv.由收件人付款地"
collection,"n.收藏,征收,搜集品,捐款"
collective,adj.集体的n.集体
college,"n.(综合大学中的)学院,(独立的)学院,<美>大学,<英>公学,书院,高等专科学院,大学,学会"
colonial,"adj.殖民的,殖民地的n.殖民地居民"
comb,"n.梳子,梳,鸡冠,蜂巢vi.梳(发),搜索"
comfort,"n.安慰,舒适,安慰者vt.安慰,使(痛苦等)缓和"
common,"adj.共同的,公共的,公有的,普通的,庸俗的,伪劣的n.[复][总]平民,公有,普通,共通"
communicate,"v.沟通,通信,(房间、道路、花园等)相通,传达,感染"
communication,"n.传达,信息,交通,通讯"
companion,"n.同伴,共事者"
company,"n.公司,陪伴,(一)群,(一)队,(一)伙,连,连队"
competitive,adj.竞争的
complete,"adj.全部的,完全的,完成的vt.完成,使完善"
computer,"n.计算机,电脑"
comrade,"n.朋友,同志,伙伴"
concern,"vt.涉及,关系到n.(利害)关系,关心,关注,关注,所关心的是"
concert,"n.音乐会,一致"
condition,"n.条件,情形,环境,社会地位vt.以...为条件,使达到要求的情况"
conductor,"n.领导者,经理,指挥管弦乐队、合唱队的,(市内有轨电车或公共汽车)售票员,<美>列车长"
conference,"n.会议,讨论会,协商会"
connect,"v.连接,联合,关连"
connection,"n.连接,关系,接线,线路,亲戚"
consider,"vt.考虑,照顾,认为"
contain,"vt.包含,容纳,容忍vi.自制v.[军]牵制(敌军)v.[数]可被...除尽"
content,"n.内容,容量,目录,满足adj.满足的,满意的,愿意vt.使满足"
context,"n.上下文,文章的前后关系"
continent,"n.大陆,陆地"
continue,"v.继续,连续,延伸"
control,"n.控制,支配,管理,调节,抑制,控制器,调节装置vt.控制,支配,管理(物价等),操纵,抑制"
convenience,"n.便利,方便,有益,有用的,方便的用具、机械、安排等"
convenient,"adj.便利的,方便的"
conversation,"n.会话,交谈"
cook,"n.厨师v.烹调,煮,伪造"
cool,"n.凉爽,凉爽的空气adj.凉爽,冷静的,无所顾虑的,淡漠的v.使冷,使镇定"
cop,"n.警官,巡警,[纺]管纱vt.抓住"
cope,"vi.(善于)应付,(善于)处理"
copper,"n.铜,警察"
copy,"n.副本,拷贝,摹仿,一册v.复印,复制,拷贝,抄袭"
copyright,"n.版权,著作权"
core,"n.果核,中心,核心"
corn,"n.<美>玉米,<英>谷物,五谷,[医]鸡眼vt.腌(肉等)"
corner,"n.角落,(街道)拐角处,(遥远的)地区,偏僻处,困境,绝路vt.迫至一隅,垄断,使陷入绝境,把...难住vi.相交成角,囤积(in)"
corporation,"n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮"
correct,"adj.正确的,恰当的,端正的vt.改正,纠正,告诫,惩戒"
cost,"n.成本,价钱,代价vt.价值为,(使)花费(金钱,时间,劳力等),使失去(生命,健康等),令人付出vi.花费"
costly,"adj.昂贵的,贵重的"
costume,"n.装束,服装"
cottage,"n.村舍,小别墅"
cotton,"n.棉花,棉线"
couch,"n.(文学)床,睡椅 v.(用语言)表达"
cough,n.咳嗽v.咳嗽
count,"v.数,计算,计算在内,认为,有价值n.计数,计算,注意,伯爵"
country,"n.国家,国土,[总称]国民,乡村,故乡adj.乡下的,乡村的,[方]祖国的,故乡的"
countryside,"n.乡下地方,乡下居民"
couple,"n.(一)对,(一)双,夫妇vt.连合,连接,结合vi.结合,结婚"
courage,"n.勇气,精神"
course,"n.过程,经过,进程,方针,路线,跑道,课程,一道菜v.追猎,急行,运行,流动 学业"
court,"n.法院,庭院,朝廷,宫庭,球场,奉承,求爱,殷勤vt.向...献殷勤,追求,设法获得(他人的支持等),博得(喝彩),招致(失败、危险等)vi.求爱"
cousin,"n.堂兄弟姊妹,表兄弟姊妹"
cover,"n.盖子,封面,藉口vt.覆盖,铺,掩饰,保护,掩护,包括,包含,适用vi.覆盖,涂,代替"
craft,"n.工艺,手艺"
crazy,"adj.疯狂的,狂热的,(指建筑等)不安全的"
cream,"n.乳酪,奶油,(护肤)面霜"
creature,"n.人,动物,傀儡,创造物"
credit,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款vt.相信,信任,把...归给"
crew,"n.全体人员,(工作)队 vbl.crow的过去式"
cricket,"n.[昆]蟋蟀,[运动]板球"
critic,"n.批评家,评论家,吹毛求疵者"
criticize,"v.批评,责备"
criticise,"v.批评,吹毛求疵,非难"
crop,"n.农作物,产量,平头,短发vt.收割,修剪,种植vi.收获"
cross,"n.十字,交叉,十字架,十字形物adj.交叉的,相反的,乖戾的v.使交叉,横过,勾划,错过,反对,杂交"
crow,"n.乌鸦,似乌鸦的鸟,撬棍vi.啼叫,报晓,(婴孩)格格地笑"
crowd,"n.人群,群众,一堆(东西),一伙v.群集,拥挤,挤满"
cucumber,n.[植]黄瓜
culture,"n.文化,文明"
cup,"n.杯子,酒杯,奖杯vt.使成杯状,为...拔火罐"
cure,"v.治愈,治疗n.治愈,痊愈"
curious,"adj.好奇的,求知的,古怪的,爱挑剔的"
currency,n.流通
curtain,"n.窗帘,门帘v.装上门帘"
cushion,"n.垫子,软垫,衬垫v.加衬垫"
custom,"n.习惯,风俗,<动词单用>海关,(封建制度下)定期服劳役,缴纳租税,自定义,<偶用作>关税v.定制,承接定做活的"
customer,n.消费者
daily,"adj.每日的,日常的adv.每日,日常地,天天n.日报,<美口>朝来夜去的女佣"
dairy,"n.牛奶场,奶品场,售牛奶,奶油,鸡蛋等的商店,奶制品"
dam,"n.水坝,障碍v.控制,筑坝"
damage,"n.损害,伤害v.招致损害n.[律] (用复数)赔偿金"
danger,"n.危险,危险物,威胁"
dangerous,adj.危险的
dare,"n.挑战vi.敢,胆敢vt.敢冒,不惧"
data,"n.datum的复数,[计] 资料,数据"
database,"n.[计] 数据库,资料库"
dawn,"n.黎明,拂晓,破晓vi.破晓,开始现生,变得(为人所)明白v.破晓 Dawn 道恩(女子名)"
deaf,adj.聋的
deal,"n.交易,(政治上的)密约,待遇,份量,<口>买卖vi.处理,应付,做生意vt.分配,分给(out),发牌,给予"
dealer,"n.经销商,商人"
dean,"n.(大学)院长,主持牧师,(基督教)教长n. 迪安 Dean(男子名)"
death,"n.死,死亡,致死的原因,毁灭,屠杀"
debt,"n.债务,罪过"
decide,"v.决定,判决"
decision,"n.决定,决心,决议,结果,果断,坚定"
decisive,adj.决定性的
deck,"n.甲板,舰板,覆盖物,一副(纸牌)vt.装饰,修饰,打扮,装甲板"
deed,"n.行为,事实,功绩,实行,契约vt.立契转让(旧产等)"
deep,"adj.深的,纵深的,远离中心的,深奥的,难懂的,(指人)诡计多端的,低沉的(声音)adv.深入地,迟n.深渊,深处"
defeat,"n.击败,战胜,失败vt.击败,战胜,使失败,挫折v.击败"
defence,"n.防卫,防卫设备n.[律](被告的)答辩、辩护"
defense,
defend,"vt.防护,辩护,防卫,[律]作...的辩护律师"
degree,"n.度数,度,程度,[律](罪行的)轻重,学位,地位,身份,[数]次数"
delicious,adj.美味的
delight,"n.快乐,高兴,喜悦v.(使)高兴,(使)欣喜"
department,"n.部,局,处,科,部门,系,学部"
depend,"vi.依靠,依赖"
dependent,"adj.依靠的,依赖的,由...决定的,随...而定的"
depth,"n.深,深度,深奥,深刻"
describe,
description,"n.描写,记述,形容,种类,描述"
desert,"n.沙漠,应得的赏罚,功过adj.沙漠的,不毛的,荒凉的vt.放弃,遗弃,逃跑vi.逃掉,逃亡,开小差"
design,"n.设计,图案,花样,企图,图谋,(小说等的)构思,纲要v.设计,计划,谋划,构思"
desire,"vt.想望,期望,希望,请求(官方丈礼)n.愿望,心愿,要求v.要求"
destroy,"vt.破坏,毁坏,消灭v.消灭,摧毁"
detector,"n.发现者,侦察器,探测器,检波器,检电器"
develop,"vt.发展,发达,发扬,进步,逐步展开(情节,音乐主题,方程式等)洗印,显影vi.发展,生长,发育,逐步显示出来"
devote,"vt.投入于,献身"
dew,"n.露,露水般的东西,清新"
dial,"n.刻度盘,钟面,转盘,(自动电话)拨号盘v.拨"
dialog,"n.(=dialogue)会话,对话"
dialogue,n.对话
diamond,"n.钻石,菱形"
dictionary,"n.字典,词典"
diet,"n.通常所吃的食物,会议"
difference,"n.差异,差别,分歧,争论,[数]差额,差分adj.[数]微分的,[机]差动的"
different,adj.不同的
difficult,"adj.困难的,艰难的,(人)难相处的"
difficulty,"n.困难,难点"
dig,"v.掘,挖,钻研,搜集"
digital,"adj.数字的,数位的,手指的n.数字,数字式"
dip,
direct,"adj.径直的,直接的,直系的,直率的,[天]由西向东运行的,顺行的adv.直接地vt.指引,指示,指挥,命令,导演vi.指导,指挥"
direction,"n.方向,指导,趋势,(常用复数)指示,用法,说明(书),收件人地址"
director,"n.主任,主管,导演,(机关)首长,(团体)理事,(公司)董事,指挥仪,控制器"
dirt,"n.污垢,泥土"
dirty,"adj.肮脏的,卑鄙的,下流的,暴风雨的,恶劣的(天气)vt.弄脏vi.变脏"
disappear,"vi.消失,不见"
disappoint,vt.使失望
disaster,"n.灾难,天灾,灾祸"
disc,"n.(=disk) 圆盘,唱片vt.灌唱片"
discover,"vt.发现,发觉v.发现"
discovery,"n.发现,发明的东西"
discuss,"vt.讨论,论述"
disease,"n.疾病,弊病"
dish,"n.盘,碟,盘装菜v.提出 碟形卫星天线"
dislike,"vt.讨厌,不喜欢n.嫌恶"
distant,"adj.远的,关系远的(亲戚),疏远的,间隔的,冷漠的"
district,"n.区域,地方,管区,行政区,(美国各州的)众议院选区"
ditch,"n.沟,沟渠,壕沟"
dive,"vi.潜水,跳水,下潜,俯冲n.潜水,跳水,下潜,俯冲"
divide,"v.分,划分,分开,隔开,"
divorce,"n.离婚,脱离vt.使离婚,与...脱离"
document,"n.公文,文件,文档,档案,文献v.证明"
dollar,"n.元,美元"
donkey,"n.驴子,笨蛋,顽固者,(=donkey engine)轻便发动机,(=donkey pump)辅助泵"
dormitory,n.宿舍
dose,"n.剂量,(一)剂,(一)服v.(给...)服药"
double,"n.两倍,[计] 双精度型adj.两倍的,双重的vt.使加倍vi.加倍,快步走,加倍努力"
doubt,"n.怀疑,疑惑,疑问v.怀疑,不信,拿不准,<古>恐怕"
dove,n.鸽子 vbl.dive 的过去式
downstairs,"adv.在楼下,往楼下,下楼"
dozen,"n.一打,十二个"
drag,"v.拖,拖曳,缓慢而费力地行动n.拖拉"
drama,"n.(在舞台上演的)戏剧,戏剧艺术"
dramatic,"adj.戏剧性的,生动的"
draw,"v.拉,曳,牵,画,绘制,拖曳vt.汲取,领取,提取,引起,吸引vi.向...移动,挨近n.平局,和局,拖曳"
drawer,"n.抽屉,画家,制图员,(用复数)衬裤、内裤"
drawing,"n.图画,制图,素描术"
dream,"v.做梦,梦见,梦想,想到n.梦,梦想"
dress,"n.女服,童装,服装,衣服v.(给...)穿衣"
drift,"n.冲洗,漂流物,观望,漂流v.(使)漂流"
drip,n.水滴v.(使)滴下
drop,"v.滴下,落下,(使声音等)变弱,(使价格等)下降,使跌倒,使结束,不再讨论,停止与(某人)交往n.落下,下降,滴,滴剂,点滴,微量,下跌"
drought,"n.干旱,缺乏"
drug,"n.药,麻药,麻醉药,滞销货vi.<俗> 吸毒vt.使服毒品,毒化"
drum,"n.鼓,鼓声,鼓形圆桶,[解]鼓膜,鼓室vi.击鼓,作鼓声vt.打鼓奏"
drunk,adj.喝醉了的 vbl.drink 的过去分词
due,"n.应得物、权力,[复]应付款adj.应得的,应付的,正当的,预期的,(车、船预定)应到的"
dumb,"adj.哑的,无说话能力的,不说话的,无声音的"
during," prep.在...的期间,在...的时候"
