relationship,n. 关系；关联
provision,[网络] 专业视力眼镜中心；邻舍能供应需要
suck,"vt. 吸, 吮, 吸入, 吮吸, 吸收
vi. 吸, 吸奶
n. 吸, 吸入, 吮吸"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
[计] 大纲, 分级, 轮廓"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
sketch,"n. 素描, 草图, 小品
v. 描绘略图, 画素描或速写"
lick,"n. 舔, 少许, 打
vt. 舔, 卷过, 鞭打
vi. 轻轻拍打"
bacteria,"pl. 细菌
[医] 细菌, [无芽胞]杆菌"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
succession,"n. 连续, 继承权, 继位, 演替, 地层次序
[法] 继承, 继承权, 继位"
successive,"a. 继承的, 连续的
[经] 接续承运人; 连续的"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
motive,"suf. 表示“动的”,“运动的”：locomotive"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
[计] 顺序"
certainty,"n. 确定, 确实的事情
[法] 确定, 肯定, 必然的事"
ministry,"n. 部, 内阁, 服务
[经] 部"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
bulletin,"n. 公告, 布告, 公报
[电] 电子布告栏"
occasional,"a. 偶然的, 临时的
[法] 偶然的, 特殊场合的"
siege,"n. 包围, 围攻, 再三的努力
vt. 包围, 围攻"
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
[计] 中继线; 母线"
excellence,"n. 优秀, 卓越, 优点"
proportional,"a. 比例的, 相称的
n. 比例项"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
[计] 摘要; 概要"
chaotic,"a. 混乱的, 无秩序的
[法] 混乱的, 混沌的"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
[计] 理论的"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
oily,"a. 油的, 油滑的, 油嘴的
[化] 油的; 含油的; 油性的; 油质的; 多油的; 油腻的; 油滑的"
slam,"n. 砰然声, 猛然, 猛烈的抨击
vt. 猛然关上, 砰地关上, 猛烈抨击
vi. 砰地关上, 猛攻"
liquor,"n. 酒, 液体, 汁, 溶液
vt. 浸水
vi. 喝酒"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
[法] 空的, 空虚的, 闲暇的"
bowel,"n. 肠, 内脏, 内部
vt. 挖...的内脏"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
sharpen,"vt. 使尖锐, 使敏捷, 加重, 削尖
vi. 尖锐化, 变锋利"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
[计] 旋转"
archive,"vt. 把...存档
n. 档案馆, 档案文件
[计] 挡案库, 存档"
correspondent,"n. 通讯记者, 通信者
[经] 客户, 代理商行, 代理银行"
infection,"n. 传染, 影响, 传染病
[医] 传染, 感染"
notify,"vt. 通知, 通告, 报告
[计] 通知"
quiver,"n. 震动, 颤抖, 箭袋
vi. 颤抖, 振动
vt. 使颤动
a. 敏捷的"
sake,"n. 目的, 缘故, 理由"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
[计] 示例, 字样"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
stoop,"n. 佝偻, 屈从, 弯腰
vi. 弯下, 屈从, 弯腰, 堕落
vt. 使屈从, 使弯曲"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
damn,"n. 一点, 诅咒, 丝毫
interj. 该死, 该死的
vt. 诅咒, 罚...下地狱
vi. 指责, 谴责, 骂...该死, 证明...有罪"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
[计] 负差"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
[法] 花言巧语的, 似乎有理的"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
[计] 孔距"
simplicity,"n. 单纯, 简朴, 朴素, 坦率, 天真
[计] 简明性"
stereotype,[网络] 刻板印象；定型；强硬派看待中国的流行做法
beloved,"a. 心爱的
n. 心爱的人"
disabled,"a. 残废的, 有缺陷的, 失效的
[计] 失效的"
mutual,"a. 相互的, 共有的
[经] 相互的"
monument,"n. 纪念碑, 纪念物, 石碑"
preferable,"a. 更可取的, 更好的, 更合意的"
seminar,"n. 研究班, 专题讨论会
[经] 讨论会, 专家讨论会"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
[计] 电压尖峰"
intensity,[网络] 强度；亮度
bull,"n. 公牛
[法] 买方, 买空者"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
removal,"n. 移动, 移居, 迁移, 排除, 切除
[医] 切除, 除去"
sideways,[网络] 杯酒人生；向一边的；发球得分制
timber,"n. 木材, 木料
vt. 用木材建造"
dialect,"n. 方言, 同源语"
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
preceding,"a. 在前的, 前面的
[法] 在前的, 在先的, 前面的"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
rouse,"n. 觉醒, 奋起, 干杯
vt. 唤醒, 鼓舞, 激动, 使振奋, 惊起
vi. 醒来, 奋起"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
subdivide,"vi. 细分, 再分
vt. 把……再分, 把……细分"
brow,"n. 眉毛, 额
[医] 额, 眉, 睫毛"
dial,"n. 刻度盘, 钟面, 转盘
v. 拨"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
[计] 最大值"
reunite,"vt. 使重聚；使再结合；使再联合
vi. 重聚；再结合；再联合"
owing,"a. 未付的, 亏欠的, 受惠的, 归因于...的
[经] 应付的, 欠着的, 未付的"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
[医] 损害, 讨厌"
shove,"n. 推, 挤
vt. 推挤, 猛推, 强使
vi. 推"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
briefcase,n. 公文包
erosion,"n. 腐蚀, 冲蚀, 侵蚀
[化] 磨耗; 侵蚀"
promising,"a. 有希望的, 前途有望的
[经] 有希望的"
cellar,"n. 地窖, 地下室, 藏酒"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
procession,"n. 队伍, 连续, 列队行进, 涌出"
shiver,"vi. 颤抖, 哆嗦, 被打碎
vt. 使迎风飘动, 粉碎
n. 战栗, 碎块"
cease,"n. 停止
v. 停止, 终了"
innocence,"n. 无罪, 无知, 天真无邪
[法] 无罪, 无罪的人, 清白无辜者"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
[法] 攻击的, 进攻的, 冒犯的"
restless,"a. 不安静的, 慌张的, 休息不充分的
[医] 不安静的, 不宁的"
skim,"vt. 撇取浮沫, 略读, 掠过
vi. 擦过, 浏览
n. 脱脂乳, 擦过, 表层物
a. 撇去浮沫的"
transparent,"a. 透明的, 显然的, 清晰的
[计] 透明"
graceful,a. 优美的
plow,"n. 犁
v. 犁, 耕"
risky,a. 危险的
swear,"vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒
n. 宣誓；诅咒"
declaration,"n. 宣告, 说明, 宣布
[计] 说明"
headquarters, （机构， 企业等的）总部; 总店（head-quarter的名词复数）
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
[法] 占领, 占据, 占有"
proficiency,"n. 精通, 熟练, 精练"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
[计] 散点图"
spine,"n. 背骨, 脊柱, 尖刺
[医] 脊柱; 棘, 刺; 马蹄嵴"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
liberate,"vt. 解放, 释放, 使自由
[机] 释出, 放出"
presumably,adv. 大概；推测起来；可假定
rip,[网络] 卫非特
stir,"n. 搅拌；轰动
vt. 搅拌；激起；惹起
vi. 搅动；传播；走动"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
[化] 立杆"
childlike,[网络] 像小孩似的；孩子般
hatred,"n. 憎恨, 仇恨, 憎恶
[法] 敌意, 憎恨, 憎恶"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
[医] 妊娠的, 有孕的"
quake,"vi. 颤抖, 地震
n. 颤抖, 地震"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
[计] 双音频"
ambition,"n. 野心, 志向"
explosive,"n. 炸药, 爆破音
a. 易爆发的, 爆炸的, 暴躁的"
cheerful,"a. 快活的, 高兴的, 兴高采烈的"
protein,"n. 蛋白质
a. 蛋白质的"
sack,"n. 麻布袋, 洗劫
vt. 把...装入袋, 洗劫"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
[计] 置换; 替代"
vertical,"a. 垂直的, 直立的
[医] 垂直的, 顶的, 头顶的"
checkpoint,[电] 核对点
foresee,"vt. 预见, 预知"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
optical,[光] 光学的
pump,"n. 泵；抽水机；打气筒；船鞋
v. 追问；盘问；用泵（或泵样器官等）输送；涌出
abbr. (=politically upwardly mobile personality)政治新星
[网络] 水泵；帮浦；泵浦"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
album,"n. 粘贴簿, 唱片套
[医] 白色物"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
[计] 循环"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
[计] 网络软件目录, 编码与分析系统"
parliament,"n. 国会, 议会
[法] 会议, 国会, 议院"
commence,"vt. 开始；着手
vi. 使……开始；使……得学位"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
[医] 自发的, 特发的, 自生的"
whistle,"n. 口哨, 汽笛, 啸啸声, 口哨声
vi. 吹口哨, 鸣汽笛, 发嘘嘘声
vt. 用口哨或吹哨传意, 用口哨演奏"
auction,"n. 拍卖
vt. 拍卖"
eternal,"a. 永恒的, 永远的, 不灭的"
internal,"a. 内在的, 国内的
[医] 内的, 内部的"
physician,"n. 医师, 内科医师, 解除痛苦者
[医] 主治医师"
raid,"n. 袭击, 突袭, 搜捕
v. 奇袭, 搜捕
[计] 廉价磁盘冗余阵列"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
stripe,"n. 斑纹, 条纹
[医] 纹, 条纹"
slender,"a. 苗条的, 纤弱的, 微少的, 微薄的
[机] 细的, 纤细的"
aspiration,"n. 热望, 志向, 渴望
[医] 吸入; 吸[引], 吸引术"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
marginal,"a. 边缘的, 最低限度的, 有旁注的
[医] 缘的"
provoke,"vt. 激怒, 惹起, 诱导
[法] 刺激, 煽动, 激怒"
satisfied,a. 感到满意的
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
outset,外盖型套轮
coarse,"a. 粗糙的, 下等的, 粗俗的
[计] 粗略的"
gratitude,n. 感激之情
weave,"n. 编法, 织法, 编织式样
vt. 编织, 组合, 编排, 使迂回前进
vi. 纺织, 迂回行进"
rag,[=radium-G]镭-G
enforce,"vt. 强迫, 执行, 坚持
[经] 予以强制执行"
speciality,"n. 专长, 擅长, 特种技能, 详细说明, 特性, 特产, 专业
[化] 特制品"
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
[计] 标记"
county,"n. 县, 郡"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
utmost,"n. 极限, 最大限度, 极度
a. 极度的, 最远的"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
[化] 铺设"
skeleton,"n. 骨骼, 骨瘦如柴的人, 梗概, 骨干, 残骸
a. 骨骼的, 概略的, 基层的, 骨干的
[计] 骨架"
withstand,"vt. 抵住, 顶住, 经得起"
fragment,"n. 碎片, 破片, 片段
[计] 段落; 片段; 分段"
quest,[网络] 寻求
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
rear,[地名] 雷河 ( 英 )
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
realm,"n. 王国, 领土, 领域
[计] 领域"
thereby,[网络] 因此；从而
crust,"n. 外壳, 坚硬外皮, 面包皮
vt. 盖以硬皮
vi. 结硬皮"
pillar,"n. 柱子, 栋梁, 台柱, 重要的支持者
[医] 柱, 脚"
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝
vt. 喷雾, 扫射, 喷射
vi. 喷, 溅开"
battery,"n. 电池, 殴打
[化] 蓄电池"
shrug,"n. 耸肩
v. 耸肩"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
harbour,[地理] 港湾
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
[法] 所得, 收入, 收益"
speculate,"vi. 深思, 推测, 投机
[经] 投机"
reclaim,"vt. 要求收回, 试图取回, 要求重得, 要求恢复"
illustration,"n. 例证, 插图
[化] 插图"
regarding,prep. 关于
thread,"n. 线, 丝, 纤维, 线索
vt. 穿线于, 穿过, 通过, 用线穿成
vi. 穿过
[计] 线索, 线程"
devil,"n. 魔鬼
vt. 折磨, 戏弄"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
cliff,"n. 悬崖, 绝壁"
hearing,"n. 听, 听觉, 听讯
[医] 听, 听觉"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
sceptical,"a. 怀疑论的, 怀疑的"
transmission,"n. 传输, 传送, 变速器
[计] 传输"
anniversary,n. 周年纪念
destructive,"a. 毁灭性的, 破坏的, 有害的
[医] 破坏的, 毁坏的"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
[计] 子网访问协议"
provided,conj. 以…为条件；假如(常与that连用)；除非；若是
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
machinery,"n. 机器, 机械装置, 机构
[化] 机械"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
[计] 锚"
waken,"vt. 唤醒, 使觉醒, 激发
vi. 觉醒, 醒来"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
[法] 宣布, 宣告, 公布"
roast,"n. 烤肉, 烘烤, 嘲笑
a. 烘烤的, 烤过的
vt. 烤, 炙, 烘焙, 嘲笑
vi. 烤, 炙, 烘焙"
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
virtue,"n. 德行, 美德, 优点, 功效, 效力
[法] 美德, 贞操, 优点"
congratulate,"vt. 祝贺, 庆贺"
liar,n. 说谎者
quarrel,"n. 吵架, 反目, 怨言, 方头凿
vi. 吵架, 争论, 挑剔"
senate,"n. 参议院, 立法机构, 评议会"
undo,"vt. 解开, 取消, 破坏, 毁灭, 扰乱
vi. 松开
[计] 撤消"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
[法] 权宜处置权, 决定权, 宽恕"
scarce,"a. 难得的, 稀罕的, 缺乏的"
scarcely,"adv. 简直不, 一定不, 仅仅"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
comparison,"n. 比较, 对照, 比喻
[经] 比较, 对比"
harmony,"n. 协调, 和睦, 调和
[电] 和声学"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
ratio,"n. 比, 比率
[医] 比, 比率, 比例"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
[计] 求解"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
attendance,"n. 出席, 出席的人数, 照料
[法] 管理, 照料, 资助"
delightful,"a. 令人愉快的, 可爱的"
meantime," 平时, 平均时"
pierce,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动
vi. 刺入, 穿入, 透入, 进入"
scream,"n. 尖叫声
vi. 尖叫, 大笑, 尖啸, 令人震惊
vt. 尖叫着说, 大叫大嚷着要求"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
practise,"v. 实践, 实行, 练习, 实习, 从事(职业)"
forehead,前头部
barn,"n. 谷仓
[化] 靶(恩)(核反应截面单位)"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
lodge,"n. 小屋, 门房, 支部, 旅舍, 分会
vi. 临时住宿, 倒伏, 寄宿, 投宿
vt. 安顿, 容纳, 提出, 把...射入, 存放"
relativity,"n. 有关系, 相关性, 相对性
[化] 相对性"
sore,"a. 悲伤的, 痛的, 引起痛苦的
n. 痛处, 溃疡, 疮"
banquet,n. 宴会
greedy,"a. 贪婪的, 贪得的, 贪吃的"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行
n. (Rage)人名；(丹)拉厄"
scout,"n. 守候, 侦察, 搜索, 侦察员, 侦察机
vi. 守候, 侦察, 巡视, 嘲笑
vt. 侦察, 跟踪, 发现, 监视, 嘲弄"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
tame,"a. 驯服的, 柔顺的, 被开垦的, 顺从的, 乏味的, 平淡的
vt. 驯养, 驯服, 制服, 失去锋芒
vi. 变得驯服"
dense,"a. 密集的, 浓厚的"
defect,"n. 缺点
[医] 缺损, 缺陷"
illusion,"n. 幻影, 错觉, 幻想
[医] 错觉"
periodical,期的，定期的，间歇的，循环的，断断续续的
refugee,"n. 难民, 流亡者
[法] 避难者, 流亡者, 难民"
spit,"n. 唾液, 唾吐, 小雨, 炙叉, 一铲的深度
vt. 唾吐, 吐出, 降小雨, 用炙叉穿过
vi. 吐唾沫, 吐痰, 唾弃, 飘霏霏细雨"
envious,"a. 嫉妒的, 羡慕的"
thoughtful,[网络] 有心
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
[经] 对帐, 使一致"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
solemn,"a. 严肃的, 郑重的, 庄严的"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
[计] 相关危险; 冒险"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
republic,"n. 共和国, 共和政体, 团体, 界"
wit,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
tolerate,"vt. 宽容, 容许, 有耐力"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
bucket,"n. 桶
[计] 存储桶; 桶"
nursery,"n. 托儿所, 苗圃, 温床
[医] 婴儿室, 托儿所"
holy,"adj. 圣洁的，神圣的；至善的
n. 神圣的东西
（俚）太棒了
n. (Holy)人名；(英、德、匈)霍利"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
[计] 片"
protective,"a. 给予保护的, 保护的
[医] 保护的, 防护的, 保护剂, 保护物, 油绸"
sponge,"n. 海绵, 海绵状的东西
vt. 用海绵擦拭, 吸收掉, 抹掉
vi. 采集海绵, 海绵般吸收"
diameter,"n. 直径
[医] 直经, 径"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
retell,vt. 复述；再讲；重述
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
[计] 等价的"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
streak,"n. 条理, 斑纹, 倾向
vt. 加条纹
vi. 变成条纹, 飞跑"
honorable,"a. 值得尊敬的, 荣耀的, 高贵的"
honourable,"a. 值得尊敬的, 荣耀的, 高贵的
[法] 荣誉的, 正直的, 体面的"
mushroom,"n. 蘑菇形物, 蘑菇, 暴发户
vi. 迅速生长, 迅速增加, 采蘑菇
a. 蘑菇形的, 迅速生长的"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
cashier,"n. 出纳员
[经] 司库, 出纳员, 收支员"
missile,"n. 发射物, 导弹, 飞弹, 火箭
a. 可发射的"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
systematic,"a. 有系统的, 分类上的, 体系的
[医] 系统的, 系的, 分类的"
amusement,"n. 兴味, 娱乐, 消遣
[法] 娱乐, 娱乐活动"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
originality,"n. 创意, 新奇, 独创能力, 原始"
chin,n. 秦
paste,"n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击
vt. 用浆糊粘, 张贴, 狠狠地打
[计] 粘贴"
spin,"spin
[spin]
vt.
纺(纱等)：
使成线；使成纱：
(蜘蛛)结网；(蚕)吐(丝)，做(茧)：
使旋转：
(汽车等在冰上或沙地上使车轮)空转
把(球)扔(或投、踢打)得在空中旋转
= spin-dry
用旋式钓铒钓(鱼)；在…中用旋式铒钓鱼
使(金属)铸模成形
把(玻璃、黄金等)抽拉成丝
[口语]放(唱片)：
编造；撰写：
[美国俚语]欺骗，哄(人)
[英国英语]给…不及格分数
使拖延时间，使多维持时日(out)：
[美国英语]对…做出倾向性解释：
【火箭学】使(火箭、导弹)盘绕飞行
vi.
旋转：
(蜘蛛)结网；(蚕)吐丝，做茧
纺线；纺纱：
疾驰，飞跑：
眩晕：
用旋式饵钓鱼
(车轮)空转
[美国俚语]跳舞
[英国英语]考试不及格
[美国英语]作舆论导向，造假舆论
【火箭学】(火箭、导弹)盘旋飞行
n.
旋转
自转，回转
(用洗衣机等的)脱水
疾驰，飞奔
(车轮的)空转
【商业】(价格等的)暴跌
【航空学】旋冲，螺旋下降
【物理学】旋转动量
情绪低落；惊惶失措
[美国英语]定调，导向，倾向性意见，导向性解释
[口语]放唱片；放唱片的时间
(不真实的)溢美之辞，润色之辞
观点；影响；偏见
[澳大利亚口语]运气
[900年前，1992]
短语:
put a positive (或 negative) spin on
对…作正面(或负面)倾向性解释；对…持积极(或消极等)观点；对…起积极(或消极等)的影响
变形：
vt.
spun或 span
. spun
. spinning"
organism,"n. 生物, 有机体, 社会组织
[医] 生物[体],[有]机体"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
