defensive,"adj.防御用的,自卫的n.防御"
rest,"n.休息,静止,支持物,台,架,[音]休止符,其余,其他vi.休息,睡眠,静止,依靠,搁在,保持(状态),取决于vt.使休息,使静止,睡眠,依靠,搁在"
sharpen,"v.削尖,磨快,尖锐"
undue,adj.不适当的
well-grounded,
within,"n.内部,里头adv.在内部,在内心里 prep.在...之内,不越出adj.里面的,内部的"
bail,"n.保释,保证金,保证人v.保释,舀水"
captive,"n.俘虏,被美色或爱情迷住的人adj.被俘的,被迷住的"
culprit,n.犯人
detain,"v.拘留,留住,阻止"
judicial,"adj.司法的,法院的,公正的,明断的"
jury,"n.[律] 陪审团,评判委员会,陪审员adj.[海]临时应急的"
petition,"n.请愿,情愿书,诉状,陈情书v.请求,恳求,请愿"
plea,"n.恳求,请求,辩解,藉口"
testimony,"n.证词(尤指在法庭所作的),宣言,陈述"
witness,"n.[律]证人,目击者,证据,证明,证词vt.目击,为...作证,证明,表明vi.作证,成为证据"
cardinal,"n.枢机主教,红衣主教adj.主要的,最重要的"
import,"n.进口货(常用复数),进口,输入,意思,重要性vt.输入,进口,含...的意思,重要,引入vi.有关系,有重要性"
magnitude,"n.大小,数量,巨大,广大,量级"
vital,"adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的"
social,"adj.社会的,爱交际的,社交的,群居的"
media,n.媒体
user,"n.使用者,使用物,[律]权利的实际享有"
experience,"n.vt.经验,体验,经历,阅历"
intimately,adv.密切地
immediately,"adv.立即,马上,直接地"
permit,"n.通行证,许可证,执照v.许可,允许,准许"
projection,n.发射
interest,"n.兴趣,关心,重要性,影响,利息,[常 pl.] 利益,利害vt.使发生兴趣,引起...的注意"
cyberspace,n.电脑空间
digital,"adj.数字的,数位的,手指的n.数字,数字式"
editor,"n.编辑,编辑器,编者"
editorial,"n.社论adj.编辑上的,主笔的,社论的"
exaggerate,"v.夸大,夸张"
factual,"adj.事实的,实际的"
headline,n.大字标题
imperative,"n.命令,诫命,需要,规则,祈使语气adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的"
issue,"n.出版,发行,(报刊等)期、号,论点,问题,结果,(水,血等的)流出vi.发行,流出,造成...结果,进行辩护,传下vt.使流出,放出,发行(钞票等),发布(命令),出版(书等)发给 [律]子女,后嗣"
journalism,"n.新闻业,报章杂志"
mass media,
misinterpretation,"n.误译,曲解"
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
platform,"n.(车站)月台,讲台,讲坛 平台"
prevalent,"adj.普遍的,流行的"
propaganda,"n.宣传,[天主教]传道总会"
scandal,"n.丑行,丑闻,诽谤,耻辱,流言蜚语"
verify,"vt.检验,校验,查证,核实 [计] 打开或关闭文件的读写校验"
admission,"n.允许进入,承认某事之陈述,供认"
permission,"n.许可,允许"
defer,"vi.推迟,延期,听从,服从vt.使推迟,使延期"
duration,"n.持续时间,为期"
elapse,"vi.(时间)过去,消逝v.流逝"
eternal,"adj.永恒的,永远的,不灭的,没完没了的"
hasty,"adj.匆忙的,草率的"
initiate,"vt.开始,发动,传授v.开始,发起"
instantaneous,"adj.瞬间的,即刻的,即时的"
invariably,"adv.不变地,总是n.总是"
obsolete,"adj.荒废的,陈旧的n.废词,陈腐的人"
occasional,"adj.偶然的,非经常的,特殊场合的,临时的"
perpetual,adj.永久的
postpone,"vt.推迟,使延期,延迟"
preceding,"adj.在前的,前述的"
simultaneous,"adj.同时的,同时发生的"
temporary,"adj.暂时的,临时的,临时性"
transient,"adj.短暂的,瞬时的n.瞬时现象"
according to,
assess,"vt.估定,评定"
competence,n.能力
trustworthiness,"n.可信赖,确实性"
likeability,
solely,"adv.独自地,单独地"
base,"n.底部,基础,根据地,基地,本部,基数,(运动)出发点vt.以...作基础,基于... adj.卑鄙的,低级的"
behave,"vi.举动,举止,运转v.行为表现"
compliment,"n.称赞,恭维,致意,问候,道贺vt.称赞,褒扬,恭维"
convey,"vt.搬运,传达,转让"
enhance,"vt.提高,增强v.提高"
feedback,"n.[无]回授,反馈,反应"
formal,"adj.外形的,正式的,合礼仪的,形式的,整齐匀称的n.正式的社交活动"
headshot,
impression,"n.印象,感想,盖印,压痕"
informal,"adj.不正式的,不拘礼节的"
invest,"v.投(资),购买(有用之物)～,授予,投资"
moderate,"adj.中等的,适度的,适中的v.缓和"
obedient,"adj.服从的,孝顺的"
petty,"adj.小的,不重要的,小规模的,小型的,细微的,小器的,卑鄙的"
radiant,"adj.发光的,辐射的,容光焕发的"
smooth,"adj.平滑的,平坦的,平稳的,无毛的,流畅的,圆滑的,安祥的vt.使光滑,烫平,使优雅,消除vi.变平滑,变平静n.一块平地,平滑部分"
sneaker,"n.鬼鬼祟祟的人,卑鄙者,运动鞋"
stylist,"n.自成流派者,文体家,设计师"
trim,"adj.整齐的,整洁的vt.整理,修整,装饰"
trivial,"adj.琐细的,价值不高的,微不足道的"
uniform,"adj.统一的,相同的,一致的,始终如一的,均衡的n.制服vt.使成一样,使穿制服"
upgrade,"n.升级,上升,上坡adv.往上vt.使升级,提升,改良品种"
workplace,
analog,"n.类似物,相似体"
analogue,"n.相似物,类似情况,对等的人"
analytic,"adj.分析的,解析的"
applicable,"adj.可适用的,可应用的"
concentrate on,
describe sth. as,
document,"n.公文,文件,文档,档案,文献v.证明"
questionnaire,"n.调查表,问卷"
research result,
risk analysis,
sampling survey,
statistical analysis,
target,"n.目标,对象,靶子"
under investigation,
sole,"adj.单独的,唯一的n.脚底,鞋底,基础v.换鞋底"
solitary,adj.孤独的
solo,n.独奏曲adj.单独的
attribute,"n.属性,品质,特征,加于,归结于"
virtually,"adv.事实上,实质上"
invention,"n.发明,创造"
gifted,adj.有天才的
people,"n.人,人们,民族,人类,公民vt.使住(满)人"
diffusionist,"n.传流论者,(文化)传播论者"
spread,"n.伸展,展开,传播,蔓延,酒席,宴会,桌布v.伸展,展开,铺,涂,敷,摆,传播,散布"
adulthood,n.成人期
anatomy,"n.剖析,解剖学"
anthropology,n.人类学
biology,"n.生物学,生物(总称)"
ceremony,"n.典礼,仪式,礼节,报幕员"
coincide,"vi.一致,符合"
diffuse,"v.散播,传播,漫射,扩散,(使)慢慢混合adj.散开的,弥漫的"
diffusionism,
emphasize,"vt.强调,着重v.强调"
entrance,"n.入口,门口,进入"
formally,"adv.正式地,形式上"
founder,"n.铸工,翻沙工,创始人,奠基人vt.使沉没,使摔倒,弄跛,浸水,破坏vi.沉没,摔到,变跛,倒塌,失败 方正集团,中国最著名的电子照排系统的生产商"
functionalism,"n.机能心理学,实用第一主义,机能主义"
groundbreaking,
in favor of,
incorrectly,"adv.不正确地,错误地"
initiation,n.开始
integrated,"adj.综合的,完整的"
marriage,"n.结婚,婚姻,婚姻生活,密切结合,合并"
metallurgy,"n.冶金,冶金术"
naturalist,"n.自然主义者,博物学者"
on the basis of,
perfection,"n.尽善尽美,完美,完成"
philosopher,"n.哲学家,哲人"
race,"n.种族,种族气质,种族特征,赛跑,急流,姜根vi.赛跑,疾走vt.与...赛跑,使空转"
ritual,"n.典礼,(宗教)仪式,礼节adj.典礼的,(宗教)仪式的"
separately,adv.个别地 分离地
signify,"vt.表示,意味vi.要紧,有重要性v.颇为重要,表示"
solidarity,n.团结
survival,"n.生存,幸存,残存,幸存者,残存物"
theory,"n.理论,学说,...论,原理,意见,推测"
worldly,adj.世间的
arouse,"vt.唤醒,唤起,鼓励,引起vi.睡醒"
consequently,"adv.从而,因此"
incur,v.招致
induce,"vt.劝诱,促使,导致,引起,感应"
resultant,"adj.作为结果而发生的,合成的"
upside,"n.上边,上面,上部"
contain,"vt.包含,容纳,容忍vi.自制v.[军]牵制(敌军)v.[数]可被...除尽"
be up to,
expert,"n.专家,行家,[军](特等)射手adj.老练的,内行的,专门的vt.在...中当行家,当专家"
array,"n.排列,编队,军队,衣服,大批;vt.部署,穿着,排列"
limitation,"n.限制,局限性"
biographer,n.传记作者
central,"adj.中心的,中央的,重要的,主要的,中枢的,走中间道路的n.<美>电话总机"
circumstance,"n.环境,详情,境况"
contention,"n.争夺,争论,争辩,论点"
continually,"adv.不断地,频繁地"
desire,"vt.想望,期望,希望,请求(官方丈礼)n.愿望,心愿,要求v.要求"
embody,"vt.具体表达,使具体化,包含,收录"
erroneous,"adj.错误的,不正确的"
evoke,"vt.唤起,引起,博得"
exploitation,"n.开发,开采,剥削,自私的利用,宣传,广告"
grateful,"adj.感激的,感谢的"
illusion,n.幻想
in-depth,
inferiority,"n.自卑,次等"
inner,"adj.内部的,里面的,内心的n.内部"
knee-jerk,
likelihood,"n.可能,可能性"
miracle,"n.奇迹,奇事"
oath,"n.誓言,宣誓,诅咒"
outer,"adj.外部的,外面的,远离中心的n.(射击)环外命中"
ponder,"v.沉思,考虑"
powerless,adj.无能力的
promise,"vt.允诺,答应n.允诺,答应,许诺"
rationalization,"n.合理化,合于经济原则"
robot,"n.机器人,遥控设备,自动机械,机械般工作的人"
self-help,
sobering,"adj.使清醒的,使冷静的"
subtle,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
theme,"n.(谈话,写作等的)题目,主题,学生的作文,作文题,[音乐] 主题,主题曲,主旋律"
unconscious,"adj.不省人事,未发觉的,无意识的"
utmost,"n.极限,最大可能,极力adj.极度的,最远的"
weaver,"n.织布者,织工"
remove,"vt.移动,开除,移交vi.迁移,搬家n.移动,距离,班级,升级"
influential,"adj.有影响的,有势力的"
prove,"vt.证明,证实,检验,考验vi.原来(是),证明(是)"
resistant,"adj.抵抗的,有抵抗力的"
cascade,"n.小瀑布,喷流vi.成瀑布落下n.层叠"
propagate,"v.繁殖,传播,宣传"
affect,"vt.影响,感动,侵袭,假装"
acquaintance,"n.相识,熟人"
anecdotal,"adj.轶话的,多轶事趣闻的,轶事一样的"
celebrity,"n.名声,名人"
compel,"vt.强迫,迫使"
cursory,"adj.匆匆忙忙的,粗略的,草率的"
derive,vt.得自vi.起源
directly,"adv.直接地,立即"
drive,"n.驾车,驱动器,快车道,推进力,驱使,动力,干劲,击球vt.开车,驱赶,推动、发动(机器等),驾驶(马车,汽车等)vi.开车,猛击,飞跑n.[计]驱动器"
expose,"vt.使暴露,受到,使曝光v.揭露"
flow,"n.流程,流动,(河水)泛滥,洋溢vi.流动,涌流,川流不息,飘扬vt.溢过,淹没"
in turn,
interpersonal,"adj.人与人之间的,关于人与人之间关系的"
intuitively,"adv.直觉地,直观地"
minority,"n.少数,少数民族"
outsize,adj.特大的n.特大号
plausible,adj.似是而非的
popularity,"n.普及,流行,声望"
presence,"n.出席,到场,存在"
primarily,"adv.首先,起初,主要地,根本上"
principal,"n.负责人,首长,校长,主犯,本金adj.主要的,首要的"
special,"n.特派员,专车,专刊adj.特别的,特殊的,专门的,专用的"
stem from,
tiny,"adj.很少的,微小的"
unusually,"adv.显著地,异乎寻常地,罕有地"
well-connected,
dense,"adj.密集的,浓厚的"
excess,"n.过度,剩于,无节制,超过,超额adj.过度的,额外的"
redundant,adj.多余的
saturate,"v.使饱和,浸透,使充满"
suffice,"vi.足够,有能力vt.使满足"
surplus,"n.剩余,过剩,[会计]盈余adj.过剩的,剩余的vt.转让,卖掉"
collide,"vi.碰撞,抵触"
counter,"n.计算器,计数器,计算者,柜台,筹码adv.prep.相反地"
defy,"vt.不服从,公然反抗,藐视,挑衅,违抗,使...难于n.挑战"
protest,"n.主张,断言,抗议v.主张,断言抗议,拒付"
rebel,"n.造反者,叛逆者,反抗者,叛乱者adj.造反的,叛逆的,反抗的v.造反,反叛,反抗,叛乱"
rebellion,"n.谋反,叛乱,反抗,不服从"
refute,"vt.驳倒,反驳"
resist,"vt.抵抗,反抗,抗,忍得住"
indifferent,adj.无关紧要的
meaning,"n.意义,含意,意图,[逻]内涵adj.意味深长的"
relate,"vt.叙述,讲,使联系,发生关系"
allegiance,"n.忠贞,效忠"
argument,"n.争论,辩论,论据,论点,～ (for,against),意见"
boundary,"n.边界,分界线"
coach,"n.四轮大马车,长途汽车,教练v.训练,指导"
coincidence,"n.一致,相合,同时发生或同时存在(尤指偶然)的事"
conscious,
explicit,"adj.外在的,清楚的,直率的,(租金等)直接付款的"
intend,"vt.想要,打算,意指,意谓"
irony,"n.反话,讽刺,讽刺之事"
mission,"n.使命,任务,使团,代表团"
nonsense,"n.胡说,废话"
orient,"n.东方,东方诸国(指地中海以东各国)adj.东方的,上升的,灿烂的vi.适应形势,向东vt.使朝东,使适应,确定方向"
passion,"n.激情,热情,耶稣的受难和死亡"
prompt,"n.提示,付款期限vt.提示,鼓动,促使,(给演员)提白adj.敏捷的,迅速的,即时的adv.准时地"
religious,"adj.信奉宗教的,虔诚的,宗教上的,修道的,严谨的n.僧侣,尼姑,修道士"
vocabulary,"n.词汇,词汇量,词表"
coarse,"adj.粗糙的,粗鄙的"
dubious,"adj.可疑的,不确定的"
irrespective,"adj.不顾的,不考虑的,无关的"
reckless,adj.不计后果的
regardless,"adj.不管,不顾,不注意"
vulgar,"adj.粗俗的,庸俗的,普通的,通俗的,本土的n.<古>平民,百姓"
conversation,"n.会话,交谈"
link,"n.链环,连结物,火把,链接vt.连结,联合,挽vi.连接起来"
strengthen,"v.加强,巩固"
cement,"n.水泥,接合剂vt.接合,用水泥涂,巩固vi.粘牢"
confirm,"vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼"
intensify,vt.加强vi.强化
intensive,"adj.强烈的,精深的,透彻的,[语法]加强语气的n.加强器"
reinforce,"vt.加强,增援,补充,增加...的数量,修补,加固vi.求援,得到增援n.加固物"
advice,"n.忠告,建议,[商]通知"
afraid,"adj.害怕,担心"
amaze,vt.使吃惊
automatic,"n.自动机械adj.自动的,无意识的,机械的"
avert,v.转移
awkward,"adj.难使用的,笨拙的"
cohesive,adj.粘着的
confidential,"adj.秘密的,机密的"
contact,"n.接触,联系vt.接触,联系"
dull,"adj.感觉或理解迟钝的,无趣的,呆滞的,阴暗的vt.使迟钝,使阴暗,缓和vi.变迟钝,减少"
enquire,
face,"n.脸,面容,表情,威信,正面,地形,外观vt.面对,面向,面临,承认,抹盖vi.朝,向"
faith,"n.信任,信念,宗教信仰,忠实,保证,诺言,约定"
flush,"n.奔流,晕红,激动,萌芽,活力旺盛,发烧,一手同花的五张牌,惊鸟;adj.挥霍的,直接的,泛滥的;adv.齐平地,直接地;vi.(脸)发红,奔涌,充沛,惊飞;vt.淹没,冲洗,使脸红,使齐平,使惊飞,使激动"
gather,"n.集合,聚集vi.集合,聚集,渐增,蹙眉,化脓vt.使聚集,搜集,积聚,推断"
gossip,"n.闲话,闲谈"
greet,"vt.问候,向...致意,获悉(消息),映入眼帘"
guard,"n.守卫,警戒,护卫队,防护装置vt.保卫,看守,当心vi.防止,警惕,警卫"
honest,"adj.诚实的,正直的"
initial,"adj.最初的,词首的,初始的n.词首大写字母"
jolt,v.摇晃n.摇晃
limited,"adj.有限的,狭窄的,缺乏创见的n.高级快车"
memorable,"adj.值得纪念的,难忘的"
murmur,"n.低沉连续的声音,咕哝,怨言,低语v.发低沉连续的声音,发怨言,低声说,低语"
mutter,"n.咕哝,嘀咕v.咕哝,嘀咕"
outward,"adj.外面的,外表的,公开的,向外的,外出的adv.向外,在外,表面上n.外表,周围世界"
perhaps,"adv.或许,多半"
pour,"v.灌注,倾泻,涌入,流,倾盆大雨"
pretext,"n.借口,托辞v.借口"
remind,"vt.提醒,使想起"
rouse,"v.唤醒,激起,使振奋,惊起n.觉醒,奋起"
rumor,"n.流言,谣言,传闻vt.谣传,传闻"
share,"n.共享,参与,一份,部分,份额,参股vt.分享,均分,共有,分配vi.分享"
spare,"adj.多余的,剩下的,高而瘦的人的,少量的,贫乏的,备用的v.节约,节省,不伤害,宽恕,分让,提供给某人"
sudden,"adj.突然的,意外的"
trust,"vt.信任,信赖,盼望,希望,赊卖,热望,切望n.(～ in) 信任,信赖"
willing,"adj.乐意的,自愿的,心甘情愿的,反应迅速的"
worst,"adj.最坏的,最差的adv.最坏,最差"
measure,"n.尺寸,量度器,量度标准,方法,测量,措施vt.测量,测度,估量,分派,权衡,调节vi.量"
stress,"n.重压,逼迫,压力,重点,着重,强调,重音vt.着重,强调,重读"
refuge,"n.庇护,避难,避难所"
blur,"v.涂污,污损(名誉等),把(界线,视线等)弄得模糊不清,弄污n.污点"
bring,"vt.拿来,带来,产生,引起,提出(诉讼)vi.停下"
clarity,"n.清楚,透明"
conventional,"adj.惯例的,常规的,习俗的,传统的"
division,"n.分开,分割,区分,除法,公司,(军事)师,分配,分界线"
electronic,adj.电子的
fire,"n.火,炉火,火灾,失火,闪光,炮火,热情,激情vt.点燃,烧制,使发光,给(炉子等)加燃料,放枪,激动,<口>解雇vi.开枪,射击,着火,烧火,激动"
front,"n.前面,开头,前线,(政治上的)阵线,态度,外表vt.面对,朝向,对付vi.朝向"
gender,"n.[语法] 性,<口>性别,性,性交"
household,"n.一家人,家庭,家族,王室adj.家庭的,家族的,家属的,普通的,平常的"
kick,v.踢n.踢
lag,"n.落后,囚犯,迟延,桶板,防护套adj.最后的vi.缓缓而行,滞后vt.落后于,押往监狱,加上外套"
level,"n.水平,水平面,水准,标准,级别adj.同高的,平坦的,齐平的,水平的vt.使...水平,夷平,使同等,瞄准,对准vi.变平,拉平"
lower,"adj.较低的,下级的,下等的,下游的vi.降低,跌落,减弱vt.放下,降下,减弱,贬低"
office,"n.办公室,办事处,事务所,<英>政府机关,部,公职,职责,帮助"
pure,"adj.纯的,纯粹的,纯净的,无垢的,纯洁的,完美的,抽象的"
removal,"n.移动,免职,切除"
role,"n.角色,任务"
stay,"n.逗留,延缓,中止,支柱v.在,暂住,坚持,止住,抑制,延缓,停(下)"
study,"n.学习,研究,学科,试作,论文,求学,努力,书房vt.学习,攻读,研究,考虑,计划vi.学习,试图"
booth,"n.货摊,售货亭,棚"
canteen,"n.小卖部,食具箱,饭盒,(军用)水壶"
cemetery,"n.墓地,公墓"
circus,"n.马戏团,杂技团,马戏场,杂技场"
click,v.发出滴答声n.滴答声
cradle,"n.摇篮,发源地,支船架vt.将...放在摇篮内"
cylinder,"n.圆筒,圆柱体,汽缸,柱面"
directory,"n.姓名地址录,目录"
doze,"vi.瞌睡,假寐vt.打瞌睡度过n.瞌睡"
drip,n.水滴v.(使)滴下
dump,"vt.倾倒(垃圾),倾卸n.堆存处"
elastic,adj.弹性的
farewell,"n.辞别,再见,再会int.再会,别了!(常含有永别或不容易再见面的意思)"
fist,"n.拳头,手,抓住,抓牢vt.拳打,握成拳,紧握"
foam,"n.泡沫,水沫,泡沫材料,泡沫橡皮,泡沫塑料vi.起泡沫,冒汗水,吐白沫vt.使起泡沫"
