abatement,n.消除
converge,"v.聚合,集中于一点vt.会聚"
conversant,"adj.亲近的,有交情的,熟悉的"
converse,"n.相反的事物,倒,逆行adj.相反的,颠倒的vi.谈话,交谈,认识"
convertible,"adj.可改变的,自由兑换的"
convex,"adj.表面弯曲如球的外侧,凸起的"
convince,"vt.使确信,使信服"
convivial,"adj.欢宴的,欢乐的"
convoluted,"adj.旋绕的,费解的"
coordinate,"n.同等者,同等物,坐标(用复数)adj.同等的,并列的vt.调整,整理"
copious,"adj.很多的,广识的,丰富的"
cordiality,"n.诚实,郑重,诚恳"
core,"n.果核,中心,核心"
correlate,vt.使相互关联vi.和...相关
correlated,adj.有相互关系的
corroborate,"vt.使坚固,确证"
corroboration,"n.使确实,确证的事实,确证"
corrosive,"adj.腐蚀的,蚀坏的,腐蚀性的n.腐蚀物,腐蚀剂"
corruption,"n.腐败,贪污,堕落"
cosmic,adj.宇宙的
cosmopolitan,"n.四海为家的人,世界主义者adj.世界性的,全球(各地)的"
coterie,"n.同行,圈内人,伙伴"
countenance,"n.面容,脸色,支持vt.支持,赞助"
counteract,"vt.抵消,中和,阻碍"
counterbalance,"vt.使平均,使平衡,弥补n.平衡量,平衡力,势均力敌"
counterclockwise,adj.反时针方向的adv.反时针方向
counterfeit,"n.adj.赝品,伪造品,伪造的,假冒的vt.伪造,假冒"
counterpart,"n.副本,极相似的人或物,配对物"
counterproductive,"adj.反生产的,使达不到预期目标的"
countless,"adj.无数的,数不尽的,"
court,"n.法院,庭院,朝廷,宫庭,球场,奉承,求爱,殷勤vt.向...献殷勤,追求,设法获得(他人的支持等),博得(喝彩),招致(失败、危险等)vi.求爱"
courteous,"adj.有礼貌的,谦恭的"
covet,"v.垂涎,觊觎"
cozy,"adj.舒适的,安逸的,惬意的"
craft,"n.工艺,手艺"
crash,"n.碰撞,坠落,坠毁,撞击声,爆裂声v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台"
crater,n.弹坑
crawl,"vi.爬行,蠕动,徐徐行进n.爬行,蠕动,缓慢的行进"
credible,"adj.可信的,可靠的"
credulous,adj.轻信的
creed,n.信条
crestfallen,adj.垂头丧气的
crimson,adj.深红色的n.深红色
cringe,"vi.畏缩,阿谀,奉承"
criss-cross,
criterion,"n.(批评判断的)标准,准据,规范"
critic,"n.批评家,评论家,吹毛求疵者"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
criticize,"v.批评,责备"
critique,n.批评
crooked,"adj.弯曲的,拐骗的,不老实的"
crossfire,"n.交叉火力,困境"
crumple,"v.弄皱,压皱,变皱,崩溃,垮台"
cryptic,"adj.秘密的,含义模糊的,神秘的,隐藏的"
crystalline,adj.水晶的
culinary,"adj.厨房的,烹调用的,厨房用的"
culminate,v.达到顶点
culpable,"adj.该责备的,有罪的,不周到的"
cumbersome,"adj.讨厌的,麻烦的,笨重的"
cursory,"adj.匆匆忙忙的,粗略的,草率的"
curt,adj.简略的
curtail,"vt.缩减,减少(经费等),剥夺(某人的)特权(或官衔等),简略"
custodian,n.管理人
customary,"adj.习惯的,惯例的"
cyclical," 轮转的,循环的"
cynical,adj.愤世嫉俗的
damped,
dampen,"v.使潮湿,使沮丧"
dappled,adj.有斑点的
daunt,v.沮丧
dearth,n.缺乏
debase,"vt.贬低,降低"
debatable,adj.可争议的
debate,"v.争论,辩论n.争论,辩论"
debauch,vt.使堕落vi.放荡n.放荡
debilitate,"vt.使衰弱,使虚弱"
decadence,n.颓废
decelerate,v.(使)减速
deceptive,adj.欺骗性的
deciduous,"adj.每年落叶的,非永久性的"
decimate,"vt.每十人杀一人,大批杀害"
decipher,"vt.译解(密码等),解释n.密电译文"
decisive,adj.决定性的
decisiveness,
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
decompose,"v.分解,(使)腐烂"
decorous,adj.有礼貌的
decorum,n.礼貌
decrepit,adj.衰老的
decry,v.谴责
defamation,n.诽谤
default,"n.默认(值),缺省(值),食言,不履行责任,[律]缺席v.疏怠职责,缺席,拖欠,默认"
defecate,v.澄清
defect,"n.过失,缺点"
defense,
defensive,"adj.防御用的,自卫的n.防御"
defer,"vi.推迟,延期,听从,服从vt.使推迟,使延期"
deference,"n.顺从,尊重"
deferential,"adj.恭敬的,恭顺的"
defiance,"n.挑战,蔑视,挑衅"
defiant,"adj.挑战的,挑衅的,目中无人的"
deficiency,"n.缺乏,不足"
deficient,"adj.缺乏的,不足的,不完善的"
definite,"adj.明确的,一定的"
definitive,"adj.最后的,确定的,权威性的"
defrost,"vt.除霜,使(冰的食物)融化vi.解冻"
deft,"adj.敏捷熟练的,灵巧的"
defunct,adj.死了的
defy,"vt.不服从,公然反抗,藐视,挑衅,违抗,使...难于n.挑战"
dehumanize,"v.使失掉人性,使成兽性"
dehydrate,vt.(使)脱水
deign,vi.屈尊vt.赐予
deleterious,"adj.有害的,有毒的"
deliberate,"adj.深思熟虑的,故意的,预有准备的v.商讨"
deliberation,"n.熟思,从容,商议,考虑"
delight,"n.快乐,高兴,喜悦v.(使)高兴,(使)欣喜"
delimit,"vt.定界限,划界"
delineate,v.描绘
delude,"vt.迷惑,蛊惑"
deluge,"n.洪水,豪雨v.使泛滥,淹,浸,压倒"
demagnetize,"vt.消磁,使退磁"
demean,"vt.举止,贬低身份"
demobilize,v.复员
demolish,"vt.毁坏,破坏,推翻,粉碎"
demonstrate,"vt.示范,证明,论证vi.示威"
demotic,adj.通俗的
demur,"vi.提出异议,反对,抗辩,犹豫n.异议,反对"
demystify,vt.使非神秘化
denigrate,v.毁誉
denote,"vt.指示,表示"
denounce,"vt.公开指责,公然抨击,谴责"
dense,"adj.密集的,浓厚的"
density,n.密度
dental,adj.牙齿的
dependable,adj.可靠的
depict,"vt.描述,描写"
deplete,"vt.耗尽,使衰竭"
deplore,v.表示悲痛
deploy,"v.展开,配置"
deprave,v.堕落
deprecate,"vt.抗议,不赞成,抨击,反对,藐视,轻视"
deprecation,"n.强烈不赞成,祈免,反对"
deprecatory,"adj.不赞成的,恳求的,反对的"
depreciate,"v.折旧,(使)贬值,降低,贬低,轻视"
deprive,"vt.剥夺,使丧失"
derelict,adj.被抛弃了的n.遗弃物
deride,"vt.嘲弄,嘲笑"
derivative,"adj.引出的,系出的n.派生的事物,派生词"
derogatory,adj.贬损的
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去"
descriptive,"adj.描述的,叙述的"
descry,"vt.察看,发现,远远看到"
desecrate,"vt.亵渎,污辱,把(神物)供俗用"
designate,"vt.指明,指出,任命,指派v.指定,指派"
desirable,"adj.值得要的,合意的,令人想要的,悦人心意的"
despicable,"adj.可鄙的,卑劣的"
despondent,adj.沮丧的
destine,"vt.注定,预定"
desultory,"adj.散漫的,不连贯的,断断续续的"
detect,"vt.察觉,发觉,侦查,探测v.发现"
detection,"n.察觉,发觉,侦查,探测,发现"
deter,v.阻止
deteriorate,v.(使)恶化
determinant,adj.决定性的
deterrent,n.威慑
detest,"vt.厌恶,憎恨"
detour,"n.便道,绕路vi.绕路而行vt.使绕道"
detriment,"n.损害,损害物"
detrimental,adj.有害的
devastate,vt.毁坏
deviant,adj.不正常的n.不正常的人或物
deviation,n.背离
devious,"adj.偏僻的,迂回的,曲折的"
devoid,"adj.全无的,缺乏的"
devour,"vt.(尤指动物)吞吃,狼吞虎咽,挥霍,(火灾等)毁灭,破坏,吞没,贪看,贪听"
devout,"adj.虔敬的,诚恳的"
dexterous,"adj.灵巧的,惯用右手的"
diagnostic,adj.诊断的
dialect,"n.方言,语调"
dichotomy,"n.两分,二分法,分裂"
dictate,"v.口述,口授,使听写,指令,指示,命令,规定n.指示(指理智,变心)"
didactic,"adj.教诲的,说教的"
die,"vi.死亡,消逝,平息,渴望,漠然,熄灭vt.死n.骰子,钢型,硬模,冲模"
diehard,n.顽固分子
dietary,"adj.饭食的n.规定的食物,饮食之规定"
diffident,
diffusion,"n.扩散,传播,漫射"
digressive,"adj.离题的,枝节的"
dilapidated,"adj.毁坏的,要塌似的,荒废的"
dilate,"vi.扩大,详述,膨胀vt.使扩大,使膨胀"
dilatory,"adj.拖拉的,不慌不忙的"
dilettante,n.业余艺术爱好者adj.业余艺术爱好的
diligent,"adj.勤勉的,用功的,细心而继续不断的"
dilute,"v.冲淡,变淡,变弱,稀释adj.淡的,弱的,稀释的"
diminish,"v.(使)减少,(使)变小"
diminution,"n.减少,减低,缩小"
diplomatic,"adj.外交的,老练的"
disabuse,"vt.解惑,释疑,使省悟"
disarm,"vt.解除武装,回复平常的编制,缓和,消除(敌意,疑虑)vi.放下武器"
disarray,v.混乱
disavowal,"n.不承认,否认,否定,拒绝"
discernible,adj.可辨别的
discharge,"vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),放(枪),射(箭)vi.卸货,流注n.卸货,流出,放电"
disciple,"n.信徒,弟子,门徒"
discipline,"n.纪律,学科v.训练"
discomfit,v.扰乱
discomfited,
discomfort,"n.不便之处,不适"
disconsolate,"adj.孤独的,郁郁不乐的"
discontent,n.不满
discount,n.折扣
discourage,"vt.使气馁,阻碍"
discouraging,adj.令人气馁的
discourse,"n.演讲,论述,论文,讲道,谈话,谈论vi.谈论,演说"
discourteous,"adj.失礼的,无礼貌的"
discredit,"n.无信用,疑惑,不名誉,耻辱vt.不信,怀疑,使丢脸"
discreet,"adj.小心的,慎重的,有思虑的,贤明的"
discrete,"adj.不连续的,离散的"
discretion,n.判断力
discriminatory,"adj.有辨识力的,有差别的"
discursive,"adj.散漫的,不得要领的"
disdain,"n.轻蔑,以高傲的态度对待vt.蔑视,鄙弃"
disenfranchise,v.(=disfranchise)剥夺...公民权
disgruntled,"adj.不满的,不高兴的"
disillusion,v.醒悟
disinclination,n.厌恶
disingenuous,adj.无诚意的
disinterest,n.无兴趣v.不关心
disinterested,adj.无私的
disjunctive,adj.分离性的
dismal,"adj.阴沉的,凄凉的,暗的vt.使人消沉n.低落的情绪,沼泽"
dismember,v.肢解
dismiss,"vt.解散,下课,开除,解职,使(或让)离开vi.解散"
disorganize,"v.扰乱,使紊乱,打乱"
disparage,"vt.蔑视,贬损,使失去信誉"
disparate,adj.全异的
dispassionate,"adj.冷静的,不带感情的,平心静气的"
dispel,"vt.驱散,驱逐,使消散"
dispensable,"adj.不是必要的,可有可无的"
disperse,"v.(使)分散,(使)散开,疏散"
disposable,adj.可任意使用的
disproportionate,
disprove,"v.反驳,驳斥,证明...为误"
disputable,"adj.有讨论余地的,真假可疑的"
dispute,"v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等)n.争论,辩论,争吵"
disrupt,"v.使中断,使分裂,使瓦解,使陷于混乱,破坏"
dissect,"v.把...解剖(动植物等),切开仔细研究,把...切成碎片"
disseminate,v.散布
dissent,v.不同意
dissident,n.持不同政见者
dissimilar,"adj.不同的,相异的"
dissipate,"v.驱散,(使)(云、雾、疑虑等)消散,浪费(金钱或时间)"
dissolve,"v.溶解,解散"
dissonant,"adj.不谐和的,不调和的,刺耳的"
distant,"adj.远的,关系远的(亲戚),疏远的,间隔的,冷漠的"
distasteful,"adj.味道不佳的,(令人)不愉快的,讨厌的"
distinct,"adj.清楚的,明显的,截然不同的,独特的"
distinctive,"adj.与众不同的,有特色的"
distinguish,"v.区别,辨别"
distort,"vt.弄歪(嘴脸等),扭曲,歪曲(真理、事实等),误报"
distortion,"n.扭曲,变形,曲解,失真"
distraught,adj.发狂的
distribute,"vt.分发,分配,散布,分布,分类,分区v.分发"
diurnal,"adj.每日的,一日间的,白天的n.日报,日刊"
diverge,"vi.(道路等)分叉,(意见等)分歧,脱离"
divergent,adj.分歧的
diverse,"adj.不同的,变化多的"
diversify,"v.使多样化,作多样性的投资"
divert,"v.转移,转向,使高兴"
dividend,"n.被除数,股息,红利,额外津贴,奖金,年息"
divisive,"adj.区分的,不和的,分裂的"
divulge,"vt.泄露,暴露"
docile,"adj.听话的,容易教的,驯良的,温顺的"
doctrinaire,n.教条主义者
doctrine,"n.教条,学说"
document,"n.公文,文件,文档,档案,文献v.证明"
dogged,"adj.顽固的,顽强的"
dogma,n.教条
dogmatist,"n.独断家,独断论者"
domain,"n.领土,领地,(活动、学问等的)范围,领域"
domesticated,
dominate,"v.支配,占优势"
domination,"n.控制,统治,支配"
domineer,v.压制
dormant,"adj.睡眠状态的,静止的,隐匿的"
dorsal,"adj.背的,脊的"
dose,"n.剂量,(一)剂,(一)服v.(给...)服药"
dossier,"n.<法> 档案,卷宗"
down,"adj.向下的adv.向下,在下面,下去,降下 prep.往下,沿着n.绒毛,软毛,开阔的高地"
downfall,"n.衰败,垮台,大雨,落下"
downplay,vt.不予重视
drab,"adj.土褐色的,单调的"
draft,"n.草稿,草案,草图vt.起草,为...打样,设计v.草拟"
dramatic,"adj.戏剧性的,生动的"
drastic,"adj.激烈的,(药性等)猛烈的"
drizzly,adj.下毛毛雨的
drollery,"n.滑稽诙谐之事,笑谈,笑话"
drone,"n.雄蜂,嗡嗡的声音,懒惰者,靶标vi.嗡嗡作声,混日子vt.低沉地说出"
drowsy,"adj.昏昏欲睡的,催眠的,(街、市等)沉寂的"
drudgery,"n.苦差事,苦工"
dual,"adj.双的,二重的,双重"
dubious,"adj.可疑的,不确定的"
ductile,"adj.易延展的,易教导的,柔软的"
dull,"adj.感觉或理解迟钝的,无趣的,呆滞的,阴暗的vt.使迟钝,使阴暗,缓和vi.变迟钝,减少"
dumbbell-like,
dumbfound,"v.使人哑然失声,使发楞"
dupe,"n.易受骗的人,易受愚弄的人vt.欺骗,愚弄n.vt.(=duplicate)"
duplicate,"adj.复制的,副的,两重的,两倍的,完全相同n.复制品,副本vt.复写,复制,使加倍,使成双"
duplicity,"n.奸诈,狡猾,搞两面派,口是心非,不诚实,表里不一"
durable,"adj.持久的,耐用的"
dutiful,"adj.忠实的,顺从的,守本分的,恭敬的,孝敬的"
dwindle,v.缩小
dynamic,"adj.动力的,动力学的,动态的"
dysfunctional,
earnest,"adj.认真的,热心的,重要的n.真挚,定金,认真,热心"
earthiness,
ebb,"n.退,弱,退潮,衰落vi.潮退,衰退"
eccentric,adj.古怪n.行为古怪的人
echo,"n.回声,回音,回波vi.发回声,随声附和vt.摹仿,重复,反射 [计] 禁止(或允许)在屏幕上显示批处理命令行"
eclectic,"adj.折衷的,折衷学派的n.折衷主义者,折衷派的人"
eclipse,"n.食,日蚀,月蚀,蒙蔽,衰落vt.引起日蚀,引起月蚀,超越,使黯然失色"
ecological,"adj.生态学的,社会生态学的"
economize,"v.节约,节省,有效地利用"
economy,"n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况"
edifice,"n.大厦,大建筑物"
edify,v.启发
efface,v.抹掉
effective,"adj.有效的,被实施的,给人深刻印象,有生力量"
effervescence,"n.冒泡,[化]泡腾,活泼"
effete,"adj.(动植物等)生产力已枯竭的,衰老的,疲惫的,衰微的"
efficacious,"adj.有效的,灵验的"
efficacy,"n.功效,效验"
egalitarian,adj.平等主义的n.平等主义
egocentric,"adj.自我中心的,利己主义的n.利己主义者"
egoist,n.自我主义者
egoistic,
egoistical,"adj.自我中心的,自私自利的,利已主义的"
egregious,"adj.异乎寻常的,过分的,惊人的"
elaborate,"adj.精心制作的,详细阐述的,精细vt.精心制作,详细阐述v.详细描述"
elapse,"vi.(时间)过去,消逝v.流逝"
elate,"vt.使兴高采烈,使得意"
electromagnetic, /n.[电磁]cs/I9lektrEJmA^`sm/IlektrEJ5mA^ntIk/adj.电磁的
elegiac,"adj.哀歌体的,挽歌的n.哀歌,挽歌"
elementary,"adj.初步的,基本的,[化]元素的,自然力的"
elicit,"vt.得出,引出,抽出,引起"
eligible,"adj.符合条件的,合格的"
eliminate,"vt.排除,消除v.除去"
elite,"n.<法>[集合名词]精华,精锐,中坚分子"
elongate,"v.拉长,(使)伸长,延长adj.伸长的n.拉长,伸长"
eloquent,"adj.雄辩的,有口才的,动人的,意味深长的"
elucidate,"vt.阐明,说明"
elude,v.躲避
elusive,"adj.难懂的,难捉摸的,易忘的"
emancipate,"vt.释放,解放,[律]使(孩子.妻子)摆脱家长的管教而获得合法权利"
embed,"vt.使插入,使嵌入,深留,嵌入,[医]包埋"
embellish,v.修饰
embellishment,"n.装饰,修饰,润色"
embezzlement,"n.盗用,侵占,挪用"
emblematic,"adj.象征(性),标记的"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
embroider,"vt.刺绣,镶边,装饰,给...添油加醋vi.绣花"
embryological,
embryonic,"adj.[生]胚胎的,开始的"
emend,"vt.修订,校勘"
eminence,"n.出众,显赫,崇高"
eminent,"adj.显赫的,杰出的,有名的,优良的"
empathy,"n.移情作用,[心]神入"
emphatic,"adj.语势强的,用力的,显著的,断然的"
empirically,adv.以经验为主地
empiricism,"n.经验主义,经验论,庸医的医术"
empty,"adj.空的,空洞的,空虚的vt.使成为空的,倒空v.倒空adj.空的,空闲的v.腾空,腾出来"
emulate,n.仿效
enamored,"adj.倾心的,被迷住的"
encapsulation,"包装,封装"
encounter,"v.遭遇,遇到,相遇n.遭遇,遭遇战"
encroach,"vi.(逐步或暗中)侵占,蚕食,超出通常(或正常)界线"
encumber,v.阻碍
endear,"vt.使亲密,使受钟爱"
endemic,"n.地方病adj.风土的,地方的"
endorse,"v.在(票据)背面签名,签注(文件),认可,签署"
endow,"v.捐赠,赋予"
endure,"v.耐久,忍耐"
enduring,"adj.持久的,不朽的"
energize,"vt.使活跃,给予精力,加强,给与...电压vi.用力,活动"
enervate,v.削弱
engage,"vt.使忙碌,雇佣,预定,使从事于,使参加vi.答应,从事,交战,[机]接合,啮合"
engender,v.造成
engrave,"v.雕刻,(线条,文字,图案)于一硬面上,深印于(心上),使铭记,铭刻"
enigma,"n.谜,不可思议的东西"
enmity,"n.敌意,憎恨"
enormous,"adj.巨大的,庞大的,<古>极恶的,凶暴的"
enrage,vt.激怒
entangle,"vt.使缠上,纠缠,卷入,连累,使混乱"
enterprise,"n.企业,事业,计划,事业心,进取心,干事业"
entertain,"vt.娱乐,招待,接受,怀抱vi.款待"
enthral,"v.迷惑,迷醉,奴役"
entice,"v.诱惑,诱使"
entitle,"vt.给...权利(或资格),给...题名,给...称号v.授权,授权"
entrenched,
entrepreneur,"n.<法>企业家,主办人"
enumerate,v.列举
enviable,"adj.令人羡慕的,可羡慕的"
envision,"vt.想象,预想"
enzyme,n.[生化]酶
ephemeral,"adj.朝生暮死的,短暂的,短命的"
epic,"n.史诗,伟大事迹adj.英雄的,壮丽的,大规模的"
epidemic,"adj.流行的,传染的,流行性n.时疫,疫疾流行,(风尚等的)流行,流行病"
episodic,adj.插话式的
epitome,n.摘要
epoch,"n.新纪元,时代,时期,时间上的一点,[地质]世"
equate,"vt.使相等,[数]视为平等vi.等同"
equation,"n.相等,平衡,综合体,因素,方程式,等式,"
equator,"n.赤道,赤道似的圈.圆"
equestrian,"adj.骑马的,马的,在马背上的,(古罗马)市民特权阶层成员的,骑士阶层的n.骑手"
equilibrium,"n.平衡,平静,均衡,保持平衡的能力,沉着,安静"
