radical,"adj.根本的,基本的,激进的n.激进分子"
extent,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
tendency,"n.趋向,倾向"
tense,"adj.紧张的,拉紧的v.(使)紧张,(使)拉紧n.[语法]时态"
tension,"n.紧张(状态),不安,拉紧,压力,张力,牵力,电压vt.拉紧,使紧张"
attend,"vt.出席,参加,照顾,护理,注意vi.专心,留意"
intend,"vt.想要,打算,意指,意谓"
intense,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
intensive,"adj.强烈的,精深的,透彻的,[语法]加强语气的n.加强器"
intention,"n.意图,目的"
contend,"v.斗争,竞争,主张"
content,"n.内容,容量,目录,满足adj.满足的,满意的,愿意vt.使满足"
maintain,"vt.维持,维修,继续,供养,主张"
maintenance,"n.维护,保持,生活费用,扶养"
retain,"vt.保持,保留"
attain,"vt.达到,获得v.达到"
contain,"vt.包含,容纳,容忍vi.自制v.[军]牵制(敌军)v.[数]可被...除尽"
entertain,"vt.娱乐,招待,接受,怀抱vi.款待"
sustain,"vt.支撑,撑住,维持,持续"
obtain,"vt.获得,得到"
continent,"n.大陆,陆地"
lever,"n.杆,杠杆,控制杆v.抬起"
relief,"n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌"
anxiety,"n.忧虑,焦急,渴望,热望"
legal,"adj.法律的,法定的,合法"
illegal,"adj.违法的,不合规定的"
delegate,n.代表vt.委派...为代表
allege,"vt.宣称,断言"
alleged,"adj.声称的,所谓的"
concentrate,"v.集中,浓缩"
concentration,"n.集中,集合,专心,浓缩,浓度"
forbid,"vt.禁止,不许v.禁止"
series,"n.连续,系列,丛书,级数"
casual,"adj.偶然的,不经意的,临时的"
continual,"adj.连续的,频繁的,持续不断的"
gradual,"adj.逐渐的,逐步的,渐进的"
individual,"n.个人,个体adj.个别的,单独的,个人的"
intellectual,"adj.智力的,有智力的,显示智力的n.知识分子"
manual,"n.手册,指南adj.手的,手动的,手工的,体力的,手册(性质)的,[律]实际占有的"
mutual,"adj.相互的,共有的"
punctual,"adj.严守时刻的,准时的"
homosexual,adj.同性恋的n.同性恋
doom,"n.厄运,毁灭,死亡,世末日v.注定,判决 著名的3D动作游戏"
dye,"n.染料,染色vt.染v.染"
enhance,"vt.提高,增强v.提高"
entire,"adj.全部的,完整的,整个"
episode,"n.一段情节,[音]插曲,插话,有趣的事件"
fantasy,"n.幻想,白日梦"
fascinate,"vt.使着迷,使神魂颠倒vi.入迷,极度迷人的"
fright,"n.惊骇,吃惊"
frustrate,"v.挫败,阻挠,使感到灰心,阻止"
gallery,"n.走廊、戏院、教堂等中最高的楼座,美术陈列室,画廊,图库"
gender,"n.[语法] 性,<口>性别,性,性交"
gloom,"n.阴暗,阴沉v.(使)变阴暗,优伤地说,繁荣"
glow,"vi.发光,发热"
gorgeous,"adj.华丽的,灿烂的"
guilt,"n.罪行,内疚"
handicap,"n.障碍,阻碍,障碍赛跑v.妨碍,使不利,阻碍"
hijack,"vt.抢劫,劫持,劫机,揩油"
irony,"n.反话,讽刺,讽刺之事"
lame,"adj.跛足的,僵痛的,不完全的,金属薄片,不知内情的人,(辩解、论据等)无说服力的vi.变跛,瘸行vt.使成残废"
layoff,"n.临时解雇,操作停止,活动停止期间,失业期"
livelihood,"n.生计,谋生"
mammal,n.哺乳动物
Marxism,
massage,n.按摩v.按摩
narrate,"v.叙述,讲述,作解说,讲故事"
nasty,"adj.污秽的,肮脏的,令人厌恶的,淫秽的,下流的,凶相的,威胁的"
negate,"vt.否定,打消"
negotiate,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
norm,"n.标准,规范"
ongoing,adj.正在进行的
ornament,"n.装饰物,教堂用品vt.装饰,修饰"
trigger,"vt.引发,引起,触发n.板机"
veto,"n.否决,禁止,否决权vt.否决,禁止"
virtual,"adj.虚的,实质的,[物]有效的,事实上的"
virus,"n.[微]病毒,滤过性微生物,毒害,恶毒"
ware,"n.陶器,器皿"
warrior,"n.战士,勇士,武士,战斗,尚武,鼓吹战争的人adj.战斗的,尚武的"
wary,adj.机警的
wealth,"n.财富,财产,大量"
wilderness,"n.荒野,茫茫一片,大量,荒地"
academy,"n.(高等)专科院校,研究院,学会,学术团体,学院"
bail,"n.保释,保证金,保证人v.保释,舀水"
ban,"n.禁令vt.禁止,取缔(书刊等)"
boost,v.推进
bribe,"n.贿赂vt.贿赂,向...行贿"
broom,"n.扫帚,[植]金雀花vt.扫除"
browse,"v.n.浏览,吃草,放牧"
buckle,"n.带扣v.扣住,变弯曲"
cater,"vi.备办食物,满足(需要),投合"
charter,"vt.租,包(船、车等)n.宪章"
chore,n.家务杂事
clause,"n.子句,条款"
clash,"n.冲突,撞击声,抵触v.(使)发出撞击声,猛撞,冲突"
climax,"n.高潮,顶点"
clinic,"n.门诊部,临床"
Confucian,
coupon,"n.息票,商家的优待券"
coward,"n.懦弱的人,胆小的人"
cucumber,n.[植]黄瓜
curb,n.路边
curl,v.(使)卷曲
dent,"n.凹,凹痕,(齿轮的)齿,弱点v.使凹下,凹进,削弱"
deem,"v.认为,相信"
dense,"adj.密集的,浓厚的"
dime,n.<美> 一角硬币
tradition,"n.传统,惯例"
therapy,n.治疗
tough,"n.恶棍adj.强硬的,艰苦的,坚强的,坚韧的,强壮的,吃苦耐劳的,凶恶的,粗暴的adv.<口>强硬地,顽强地vt.<美口>忍受,耐,坚持"
layer,"n.层,阶层"
target,"n.目标,对象,靶子"
tackle,"n.工具,复滑车,滑车,用具,装备,扭倒vt.固定,应付(难事等),处理,解决,抓住vi.捉住,扭住,扭倒"
swipe,"n.猛击,重击vt.猛击,重击,偷"
statesman,n.政治家
starve,vt.使饿死vi.饿得要死
staple,"n.钉书钉,钉,主要产品(或商品),原材料,主要成分,来源adj.主要的,常用的,大宗生产的v.把...分类,把...分级"
shrug,n.耸肩v.耸肩
shuttle,"n.往返汽车(列车、飞机),航天飞机,梭子,穿梭v.穿梭往返"
slight,"adj.轻微的,微小的"
smash,"v.打碎,粉碎n.打碎,粉碎adj.出色的"
frank,"adj.坦白的,率直的,老实的vt.免费邮寄n.免费邮寄特权 Frank 弗兰克(男子名)"
lie,"vi.躺,平放,展现,展开,位于v.说谎,躺n.谎话,谎言"
urge,"vt.催促,力劝n.强烈欲望,迫切要求v.促进"
folk,"n.人们,亲属(复数),民族adj.民间的"
youth,"n.青春,青年时期,初期,少年,青年们"
wrap,"n.外套,围巾,包裹,秘密,约束,限制vt.包装,卷,缠绕,包,覆盖,裹,遮蔽,隐藏vi.缠绕,重叠,穿外衣,包起来"
dim,"adj.暗淡的,模糊的,无光泽的,悲观的,怀疑的vt.使暗淡,使失去光泽n.<美俚>笨蛋、傻子"
crowd,"n.人群,群众,一堆(东西),一伙v.群集,拥挤,挤满"
gaze,"v.盯,凝视n.凝视"
frown,"vi.皱眉,蹙额,不赞成,反对v.皱眉"
owe,"vt.欠(债等),受到...的思想,感激,把...归功于v.欠,应感激,应该把...归功于(to)vi.欠钱"
plug,"vt.堵,塞,插上,插栓n.塞子,插头,插销"
quote,"vt.引用,引证,提供,提出,报(价)"
rack,"n.架,行李架,拷问台,小步跑,烧酒,破坏vt.放在架上,在架上制作,折磨,加以拷问,使痛苦,榨取vi.在饲草架装满干草,变形,(云)随风飘,(马)小步跑"
sake,"n.为了...之好处,出于对...的兴趣,缘故,理由,日本米酒"
screw,"n.螺丝钉,螺旋,螺杆,螺孔,螺旋桨,吝啬鬼vt.调节,旋,加强,压榨,强迫,鼓舞vi.转动,旋,拧"
vice,"n.恶习,恶行,坏脾气,罪恶,堕落,老虎钳,缺点,缺陷vt.钳住 prep.代替"
weep,"n.哭,哭泣,滴下vi.哭泣,流泪,哀悼,滴落vt.哭着使...,悲叹,滴下"
brake,"n.闸,刹车v.刹车"
gay,"adj.欢迎的,<美俚>同性恋的,放荡的,快乐的n.<美俚> 同性恋者,尤指男性同性者"
gauge,"n.标准尺,规格,量规,量表v.测量"
kind,"n.种类,性质adj.仁慈的,和蔼的,亲切的,友爱的"
punch,"n.冲压机,冲床,打孔机vt.冲孔,打孔"
pop,"n.取出,砰然声,枪击,流行乐曲;adj.流行的,热门的,通俗的;vt.开枪打,抛出,取出,突然伸出,突然行动;adv.突然,砰地;vi.发出爆裂声,爆开,射击,突然出现,瞪大;n.<口>汽水;Post Office Protocol,电子邮件协议"
shave,"v.剃,刮,削刮vt.刨,削n.刮脸"
argue,"vi.争论,辩论vt.说服"
element,"n.要素,元素,成分,元件,自然环境"
mate,"n.配偶,对手,助手vt.使配对,使一致,结伴vi.成配偶,紧密配合"
rail,"n.横杆,围栏,扶手,铁轨vt.以横木围栏,铺铁轨vi.责骂,抱怨"
scrape,"n.刮,擦,擦痕,刮擦声,困境vi.刮掉,擦掉,刮出刺耳声vt.刮,擦,擦伤,挖成"
drunk,adj.喝醉了的 vbl.drink 的过去分词
male,"adj.男的,雄的,男性"
scale,"n.刻度,衡量,比例,数值范围,比例尺,天平,等级vt.依比例决定,攀登,测量vi.剥落,生水垢,重,攀登,衡量"
curve,"n.曲线,弯曲,[棒球]曲线球,[统]曲线图表vt.弯,使弯曲vi.成曲形"
sow,"n.大母猪vt.播种,散布,使密布vi.播种"
market,"n.市场,销路,行情vt.在市场上交易,使上市vi.在市场上买卖"
span,"n.跨度,跨距,范围v.横越"
Latin,
holy,"adj.神圣的,圣洁的n.神圣的东西"
coach,"n.四轮大马车,长途汽车,教练v.训练,指导"
bloom,"n.花,旺盛,青春v.(使)开花,(使)繁盛"
friction,"n.摩擦,摩擦力"
grind,"v.磨(碎),碾(碎),折磨"
vessel,"n.船,容器,器皿,脉管,导管"
beam,"n.梁,桁条,(光线的)束,柱,电波,横梁v.播送"
swallow,"n.[鸟]燕子,吞咽,喉vt.咽,淹没,吞没,取消,忍受,轻信,压制,耗尽vi.吞下,咽下"
suck,"v.吸,吮,吸取"
hatred,"n.憎恨,乱意,仇恨"
Greek,
evil,"adj.邪恶的,带来麻烦的,不幸的,有害的,诽谤的n.邪恶,不幸,罪恶"
Japanese,
leap,"v.跳,跳越,跳跃n.跳跃,飞跃"
shed,"vt.流出,发散,散发,脱落,脱皮,摆脱n.分水岭,棚,小屋,工棚,货棚v.把...放入棚内,流下"
haste,"n.匆忙,急忙"
issue,"n.出版,发行,(报刊等)期、号,论点,问题,结果,(水,血等的)流出vi.发行,流出,造成...结果,进行辩护,传下vt.使流出,放出,发行(钞票等),发布(命令),出版(书等)发给 [律]子女,后嗣"
mercy,"n.仁慈,宽恕,怜悯"
item,"n.(可分类或列举的)项目,条款,(消息、情报等的)一则,一条"
mild,"adj.温和的,温柔的,淡味的,轻微的,适度的,不含有害物质的的"
owl,"n.[动]猫头鹰,枭,惯于晚上活动的人 Object Window Library,Borland C++ 的类库"
trap,"n.圈套,陷阱,诡计,活板门,存水弯,汽水闸,(双轮)轻便马车vi.设圈套,设陷阱vt.诱捕,诱骗,计捉,设陷,坑害,使受限制"
acre,"n.英亩,(pl.)地产,大片田地"
width,"n.宽度,宽广,广博,有一定宽度的东西(如一快布料等) /n.宽/高比"
yield,"v.出产,生长,生产vi.(～ to)屈服,屈从n.产量,收益"
sway,"v.摇摆,摇动"
device,"n.装置,设计,图案,策略,发明物,设备 [计]安装设备驱动程序"
lean,"n.倾斜,倾斜度,倚靠,倾向adj.瘦的,贫乏的,歉收的vi.倚靠,倾斜,依赖,倾向,偏向vt.使倾斜"
ripe,"adj.熟的,成熟的,时机成熟的v.成熟"
schedule,"n.时间表,进度表v.确定时间"
wander,"vi.漫步,徘徊,迷路,迷失方向,离题"
cast,"n.投掷,铸件,脱落物,一瞥,演员表v.投,抛,投射,浇铸,计算,派(角色)"
alike,"adj.相同的,相似的adv.以同样的方式,类似于"
curse,"n.诅咒,咒语,祸根,祸因vt.诅咒,咒骂,降祸,使受罪"
luxury,"n.奢侈,华贵"
scan,"v.细看,审视,浏览,扫描n.扫描"
sample,"n.标本,样品,例子vt.取样,采样,抽取...的样品,试验的一部分,尝试"
flavour,"n.滋味,香味"
customer,n.消费者
trace,"n.痕迹,踪迹,微量,迹线,缰绳vt.描绘,映描,画轮廓,追踪,回溯,探索vi.上溯,沿路走"
wreck,"n.失事船(或飞机),残骸,(船,飞机的)失事vt.破坏,拆毁"
equip,"vt.装备,配备,训练,准备行装"
dynasty,"n.朝代,王朝"
draft,"n.草稿,草案,草图vt.起草,为...打样,设计v.草拟"
quit,"vi.离开,辞职,停止vt.离开,放弃,解除,停止"
stripe,"n.斑纹,条纹"
heap,"n.堆,大量,许多vt.堆,堆起v.堆积"
lump,"n.块(尤指小块),肿块,笨人vt.使成块状,混在一起,忍耐,笨重地移动vi.结块"
marry,"vt.娶,嫁,和...结婚"
herd,"n.兽群,牧群v.把...赶在一起放牧,成群"
split,"v.劈开,(使)裂开,分裂,分离n.裂开,裂口,裂痕"
link,"n.链环,连结物,火把,链接vt.连结,联合,挽vi.连接起来"
hazard,"n.冒险,危险,冒险的事vt.冒...的危险,赌运气,使遭危险"
proud,"adj.自豪的,得意的,骄傲的,妄自尊大的"
severe,"adj.严厉的,严格的,剧烈的,严重的,严峻的"
battery,"n.电池,殴打"
challenge,n.挑战vt.向...挑战
lag,"n.落后,囚犯,迟延,桶板,防护套adj.最后的vi.缓缓而行,滞后vt.落后于,押往监狱,加上外套"
sphere,"n.球,球体,范围,领域,方面,圈子,半球"
drama,"n.(在舞台上演的)戏剧,戏剧艺术"
discipline,"n.纪律,学科v.训练"
pinch,"n.捏,撮,收缩,紧急关头,匮乏,压力vt.掐,夹痛,修剪,勒索,使感缺乏,使萎缩,偷vi.收缩,节省"
worthwhile,"adj.值得做的,值得出力的"
cheat,"n.欺骗,骗子v.欺骗,骗取"
bulb,"n.鳞茎,球形物"
menu,n.菜单
stem,"n.茎,干,词干,茎干v.滋生,阻止"
contempt,"n.轻视,轻蔑,耻辱,不尊敬,[律]藐视法庭(或国会)"
bacteria,n.pl.细菌
harness,"n.(全套)马具,系在身上的绳子,甲胄vt.上马具,披上甲胄,利用(河流、瀑布等)产生动力(尤指电力)"
vary,"vt.改变,变更,使多样化vi.变化,不同,违反"
feather,"n.翎毛,轻的东西,羽毛vi.长羽毛vt.用羽毛装饰,射掉(飞禽)的羽毛"
plot,"n.小块土地,地区图,图,秘密计划(特指阴谋),(小说的)情节.结构vt.划分,绘图,密谋vi.密谋,策划"
tragedy,"n.悲剧,惨案,悲惨,灾难"
Atlantic,
march,"n.行军,步伐,进行曲vi.进军,前进vt.使行军,使行进n.(March)三月(略作Mar)"
stress,"n.重压,逼迫,压力,重点,着重,强调,重音vt.着重,强调,重读"
welfare,"n.福利,安宁,幸福,福利事业,社会安全adj.福利的"
dive,"vi.潜水,跳水,下潜,俯冲n.潜水,跳水,下潜,俯冲"
diver,n.潜水者
drag,"v.拖,拖曳,缓慢而费力地行动n.拖拉"
ankle,n.[解]踝
slit,"vt.切开,撕裂n.裂缝,狭长切口"
nevertheless," conj.然而,不过adv.仍然,不过"
roar,"n.吼叫,怒号vi.吼叫,怒号v.滚动,咆哮"
filter,"n.滤波器,过滤器,滤光器,筛选vt.过滤,渗透,用过滤法除去vi.滤过,渗入,(消息等)走漏,慢慢传开"
blast,"n.一阵(风),一股(气流),爆炸,冲击波vt.爆炸,,毁灭,使枯萎,损害"
data,"n.datum的复数,[计] 资料,数据"
guarantee,"n.保证,保证书,担保,抵押品vt.保证,担保"
spark,"n.火花,火星,闪光,情郎,花花公子,活力,电信技师,瞬间放电vi.闪烁,发火花,求婚vt.发动,鼓舞,使有朝气,求婚"
clerk,"n.职员,办事员,<美> 店员"
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
rank,"n.等级,横列,阶级adj.繁茂的,恶臭的,讨厌的,下流的vt.排列,归类于,把...分等vi.列为,列队n.[数] 秩"
boot,"n.<美> (长统)靴,靴子v.导入"
interest,"n.兴趣,关心,重要性,影响,利息,[常 pl.] 利益,利害vt.使发生兴趣,引起...的注意"
sorrow,"n.悲哀,悲痛"
fortnight,n.两星期
clumsy,adj.笨拙的
bounce,"v.(使)反跳,弹起,(指支票)被银行退票,弹跳n.(球)跳起,弹回"
mend,"n.改进,改良,补丁,修理部分,好转vt.修改,改进,加快,修理,修补vi.好转,改善,改正"
shear,"v.剪,修剪,剪切"
fortune,"n.财富,运气,大量财产,好运,命运vt.<古>偶然发生vt.给...以大宗财富"
Roman,
violet,n.紫罗兰adj.紫罗兰色的 Violet 维奥莱特(女子名)
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
organ,"n.[机]元件,机构,机关,机关报 [乐]风琴,管风琴,嗓音 [生物]器官"
switch,"n.开关,电闸,转换vt.转换,转变"
formula,"n.公式,规则,客套语"
forth,"adv.往前,向外"
world-wide,
queue,"n.行列,长队,队列vi.排队,排队等待"
bucket,"n.桶,一桶的量,[桶壮物]铲斗"
miss,"n.过错,避免,失败,小姐,姑娘vt.未得到,未达到,未听到,思念,未觉察,错过,遗漏,逃脱vi.失败,击不中"
deaf,adj.聋的
magic,"n.魔法,巫术,戏法adj.魔术的,有魔力的,不可思议的"
string,"n.线,细绳,一串,一行v.排成一列"
fuel,"n.燃料vt.加燃料,供以燃料vi.得到燃料"
heel,"n.脚后跟,踵,跟部"
steel,"n.钢,钢铁"
favourite,"adj.特别喜爱的,中意的n.特别喜爱的(或物)"
dump,"vt.倾倒(垃圾),倾卸n.堆存处"
pace,"n.(一)步,速度,步调,步法,步态vi.踱步,缓慢的走vt.用步测,踱步于,(马)溜花蹄"
stale,"n.(牲畜等的)尿adj.不新鲜的,陈腐的,疲倦的,陈旧的vt.使变旧,走味vi.变陈旧,变无味,失时效,撒尿"
goods,"n.货物,<美俚>工具"
flesh,"n.肉,(供食用的)兽肉,肉体,肉欲,果肉,蔬菜的嫩部,亲属,人体vt.以肉喂(猎犬等),使肥,赋以血肉vi.长胖"
engine,"n.发动机,机车,火车头"
furnace,"n.炉子,熔炉"
bound,"n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制"
among," prep.在...之中,...之一"
clothe,"vt.给...穿衣,覆盖"
nuisance,"n.讨厌的人或东西,麻烦事,损害"
